m_id,m_InfluenceType,m_Level,m_NeedPoint,m_RankName,m_RewardType,m_RewardItemId,m_RewardItemNum,m_RewardOption0
3007,3,7,750,120207,"[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]"
3008,3,8,910,120208,"[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]"
3009,3,9,1080,120209,"[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]"
3010,3,10,1260,120210,"[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]"
3011,3,11,1450,120211,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3012,3,12,1650,120212,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3013,3,13,1860,120213,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3014,3,14,2080,120214,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3015,3,15,2310,120215,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3016,3,16,2550,120216,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3017,3,17,2800,120217,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3018,3,18,3060,120218,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3019,3,19,3330,120219,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3020,3,20,3610,120220,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3021,3,21,3900,120221,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3022,3,22,4200,120222,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3023,3,23,4510,120223,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3024,3,24,4830,120224,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3025,3,25,5160,120225,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3026,3,26,5500,120226,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3027,3,27,5850,120227,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3028,3,28,6210,120228,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3029,3,29,6580,120229,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3030,3,30,6960,120230,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3031,3,31,7350,120231,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3032,3,32,7750,120232,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3033,3,33,8160,120233,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3034,3,34,8580,120234,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3035,3,35,9010,120235,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3036,3,36,9450,120236,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3037,3,37,9900,120237,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3038,3,38,10360,120238,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3039,3,39,10830,120239,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3040,3,40,11310,120240,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3041,3,41,11800,120241,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3042,3,42,12300,120242,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3043,3,43,12810,120243,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3044,3,44,13330,120244,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3045,3,45,13860,120245,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3046,3,46,14400,120246,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3047,3,47,14950,120247,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3048,3,48,15510,120248,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3049,3,49,16080,120249,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3050,3,50,16660,120250,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3051,3,51,17250,120251,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3052,3,52,17850,120252,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3053,3,53,18460,120253,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3054,3,54,19080,120254,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3055,3,55,19710,120255,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3056,3,56,20350,120256,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3057,3,57,21000,120257,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3058,3,58,21660,120258,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3059,3,59,22330,120259,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3060,3,60,23010,120260,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3061,3,61,23700,120261,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3062,3,62,24400,120262,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3063,3,63,25110,120263,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3064,3,64,25830,120264,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3065,3,65,26560,120265,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3066,3,66,27300,120266,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3067,3,67,28050,120267,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3068,3,68,28810,120268,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3069,3,69,29580,120269,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3070,3,70,30360,120270,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3071,3,71,31150,120271,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3072,3,72,31950,120272,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3073,3,73,32760,120273,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3074,3,74,33580,120274,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3075,3,75,34410,120275,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3076,3,76,35250,120276,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3077,3,77,36100,120277,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3078,3,78,36960,120278,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3079,3,79,37830,120279,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3080,3,80,38710,120280,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3081,3,81,39600,120281,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3082,3,82,40500,120282,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3083,3,83,41410,120283,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3084,3,84,42330,120284,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3085,3,85,43260,120285,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3086,3,86,44200,120286,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3087,3,87,45150,120287,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3088,3,88,46110,120288,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3089,3,89,47080,120289,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3090,3,90,48060,120290,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3091,3,91,49050,120291,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3092,3,92,50050,120292,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3093,3,93,51060,120293,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3094,3,94,52080,120294,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3095,3,95,53110,120295,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3096,3,96,54150,120296,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3097,3,97,55200,120297,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3098,3,98,56260,120298,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3099,3,99,57330,120299,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
3100,3,100,58410,120300,"[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
