m_id,m_Repeat,m_HoldTime,m_AvailTime,m_Animations,m_PlayTimes,m_PlayRates,m_Effects,m_InvokeTimes,m_EffectLayout,m_OffsetsH,m_OffsetsV,m_Sounds,m_SoundTimes,m_Voices1,m_Voices2,m_Voices3,m_VoiceTimes,m_Texts,m_TextTime,m_CharaVisibility,m_VisibilityTarget,m_VisibilityStartTime
1132,1,1.399999976158142,0.5,"[204, 54, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[142, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1133,1,1.399999976158142,0.5,"[204, 51, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[142, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1134,1,1.399999976158142,0.5,"[204, 35, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[143, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1135,1,1.399999976158142,0.5,"[204, 54, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[143, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1136,1,1.399999976158142,0.5,"[204, 51, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[143, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1137,1,1.399999976158142,0.5,"[204, 35, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[144, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1138,1,1.399999976158142,0.5,"[204, 54, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[144, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1139,1,1.399999976158142,0.5,"[204, 51, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[144, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1140,1,1.399999976158142,0.5,"[204, 35, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[102, 643, 0]","[0.0, 0.5, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[0.0, -9999.0, 0.0]","[538, 243, 0]","[0.0, 0.5, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1141,1,1.399999976158142,0.5,"[204, 54, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[102, 643, 0]","[0.0, 0.5, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[0.0, -9999.0, 0.0]","[538, 243, 0]","[0.0, 0.5, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1142,1,1.399999976158142,0.5,"[204, 51, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[102, 643, 0]","[0.0, 0.5, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[0.0, -9999.0, 0.0]","[538, 243, 0]","[0.0, 0.5, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1143,1,1.399999976158142,0.5,"[204, 35, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[103, 644, 0]","[0.0, 0.5, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[0.0, -9999.0, 0.0]","[539, 243, 0]","[0.0, 0.5, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1144,1,1.399999976158142,0.5,"[204, 54, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[103, 644, 0]","[0.0, 0.5, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[0.0, -9999.0, 0.0]","[539, 243, 0]","[0.0, 0.5, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1145,1,1.399999976158142,0.5,"[204, 51, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[103, 644, 0]","[0.0, 0.5, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[0.0, -9999.0, 0.0]","[539, 243, 0]","[0.0, 0.5, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1146,1,1.399999976158142,0.5,"[204, 35, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[104, 645, 0]","[0.0, 0.5, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[0.0, -9999.0, 0.0]","[540, 243, 0]","[0.0, 0.5, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1147,1,1.399999976158142,0.5,"[204, 54, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[104, 645, 0]","[0.0, 0.5, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[0.0, -9999.0, 0.0]","[540, 243, 0]","[0.0, 0.5, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1148,1,1.399999976158142,0.5,"[204, 51, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[104, 645, 0]","[0.0, 0.5, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[0.0, -9999.0, 0.0]","[540, 243, 0]","[0.0, 0.5, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1149,1,1.399999976158142,0.5,"[204, 35, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[105, 646, 0]","[0.0, 0.5, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[0.0, -9999.0, 0.0]","[541, 243, 0]","[0.0, 0.5, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1150,1,1.399999976158142,0.5,"[204, 54, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[105, 646, 0]","[0.0, 0.5, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[0.0, -9999.0, 0.0]","[541, 243, 0]","[0.0, 0.5, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1151,1,1.399999976158142,0.5,"[204, 51, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[105, 646, 0]","[0.0, 0.5, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[0.0, -9999.0, 0.0]","[541, 243, 0]","[0.0, 0.5, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1152,1,1.399999976158142,0.5,"[204, 35, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[107, 647, 0]","[0.0, 0.5, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[0.0, -9999.0, 0.0]","[543, 243, 0]","[0.0, 0.5, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1153,1,1.399999976158142,0.5,"[204, 54, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[107, 647, 0]","[0.0, 0.5, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[0.0, -9999.0, 0.0]","[543, 243, 0]","[0.0, 0.5, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1154,1,1.399999976158142,0.5,"[204, 51, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[107, 647, 0]","[0.0, 0.5, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[0.0, -9999.0, 0.0]","[543, 243, 0]","[0.0, 0.5, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1155,1,1.399999976158142,0.5,"[204, 35, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[106, 648, 0]","[0.0, 0.5, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[0.0, -9999.0, 0.0]","[542, 243, 0]","[0.0, 0.5, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1156,1,1.399999976158142,0.5,"[204, 54, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[106, 648, 0]","[0.0, 0.5, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[0.0, -9999.0, 0.0]","[542, 243, 0]","[0.0, 0.5, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1157,1,1.399999976158142,0.5,"[204, 51, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[106, 648, 0]","[0.0, 0.5, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[0.0, -9999.0, 0.0]","[542, 243, 0]","[0.0, 0.5, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1158,1,1.399999976158142,0.5,"[204, 35, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[649, 0, 0]","[0.0, 0.0, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1159,1,1.399999976158142,0.5,"[204, 54, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[140, 649, 0]","[0.0, 0.5, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1160,1,1.399999976158142,0.5,"[204, 51, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[140, 649, 0]","[0.0, 0.5, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1161,1,1.399999976158142,0.5,"[204, 35, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[140, 650, 0]","[0.0, 0.5, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1162,1,1.399999976158142,0.5,"[204, 54, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[140, 650, 0]","[0.0, 0.5, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1163,1,1.399999976158142,0.5,"[204, 51, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[140, 650, 0]","[0.0, 0.5, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1164,1,1.399999976158142,0.5,"[204, 35, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[140, 651, 0]","[0.0, 0.5, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1165,1,1.399999976158142,0.5,"[204, 54, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[140, 651, 0]","[0.0, 0.5, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1166,1,1.399999976158142,0.5,"[204, 51, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[140, 651, 0]","[0.0, 0.5, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1167,1,1.399999976158142,0.5,"[204, 35, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[140, 653, 0]","[0.0, 0.5, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1168,1,1.399999976158142,0.5,"[204, 54, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[140, 653, 0]","[0.0, 0.5, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1169,1,1.399999976158142,0.5,"[204, 51, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[140, 653, 0]","[0.0, 0.5, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1170,1,1.399999976158142,0.5,"[204, 35, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[140, 652, 0]","[0.0, 0.5, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1171,1,1.399999976158142,0.5,"[204, 54, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[140, 652, 0]","[0.0, 0.5, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1172,1,1.399999976158142,0.5,"[204, 51, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[140, 652, 0]","[0.0, 0.5, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1173,1,1.399999976158142,0.5,"[204, 35, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[140, 654, 0]","[0.0, 0.5, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1174,1,1.399999976158142,0.5,"[204, 54, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[140, 654, 0]","[0.0, 0.5, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1175,1,1.399999976158142,0.5,"[204, 51, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[140, 654, 0]","[0.0, 0.5, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[-9999.0, 0.0, 0.0]","[243, 0, 0]","[0.30000001192092896, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
