m_id,m_ShowOrder,m_UniqueID,m_CharaID,m_Name,m_VoiceID,m_CueSheet,m_VoiceSymbol,m_ProfileVoiceID,m_InfluenceID,m_InfluenceVals,m_JobID,m_GenderID,m_RareMin,m_RareMax,m_Exp,m_LimitBreakItemID,m_DefaultSkills,m_SupportSkills,m_InfoCommandSkills,m_InfoSupportSkills,m_EventID,m_Param,m_ResistWeapon,m_ResistMagic,m_ResistID,m_EquipDef,m_OrderTexUS,m_OrderTexVS,m_OrderScaleS,m_OrderTexUL,m_OrderTexVL,m_OrderScaleL,m_NameTexID,m_IllustID,m_MenuParam,m_IllustMaskID,m_IllustMaskParam,m_FlavorText,m_TownTextID,m_CampaignTriggerConditionID,m_EpiphanyItemID,m_StatusStoryTitle,m_StatusStoryIcon,m_GachaResultBgType,m_OverwriteBaseAttackSkill
25,0,25,1025,28636,25,3024,25,"[141, 142, 143]",3,"[10, 15, 20]",3,2,3,4,0,25,"[1288, 1289, 0]","[0, 0]","[1288, 1289, 1290, 1292, 1293, 1295, 1297, 0, 0, 0, 0, 0, 0, 0, 0]","[1291, 1296]",6025,"[0, 195, 45, 0, 0, 0, 0, 0, 0, 102, 87, 95, 85, 122, 102, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.0,-0.02500000037252903,1.0,0.0,0.10000000149011612,1.0,524,25,"[-0.5, -0.20000000298023224, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29525,3202,0,0,0,0,0,0
26,0,26,1026,28637,26,3025,26,"[141, 142, 143]",2,"[10, 15, 20]",7,2,3,4,0,26,"[1299, 1300, 0]","[0, 0]","[1299, 1300, 1301, 1303, 1304, 1306, 1308, 0, 0, 0, 0, 0, 0, 0, 0]","[1302, 1307]",6026,"[0, 324, 35, 0, 0, 0, 0, 0, 0, 108, 112, 93, 99, 68, 90, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.0,-0.02500000037252903,1.0,0.0,0.10000000149011612,1.0,525,26,"[-0.27000001072883606, -0.5799999833106995, 1.7999999523162842, 1.7999999523162842]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29526,3202,0,0,0,0,0,0
27,0,27,1027,28638,27,3026,27,"[141, 142, 143]",3,"[10, 15, 20]",7,2,3,4,0,27,"[1310, 1311, 0]","[0, 0]","[1310, 1311, 1312, 1314, 1315, 1317, 1319, 0, 0, 0, 0, 0, 0, 0, 0]","[1313, 1318]",6027,"[0, 310, 49, 0, 0, 0, 0, 0, 0, 105, 100, 95, 95, 80, 80, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.0,-0.009999999776482582,1.0,0.014999999664723873,0.10000000149011612,1.0,526,27,"[-0.20000000298023224, -0.5, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29527,3227,0,0,0,0,0,0
28,0,28,1028,28639,28,3027,28,"[141, 142, 143]",2,"[10, 15, 20]",7,1,3,4,0,28,"[1321, 1322, 0]","[0, 0]","[1321, 1322, 1323, 1325, 1326, 1328, 1330, 0, 0, 0, 0, 0, 0, 0, 0]","[1324, 1329]",6028,"[0, 330, 40, 0, 0, 0, 0, 0, 0, 112, 110, 90, 90, 75, 85, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.0,-0.03999999910593033,1.0,0.019999999552965164,0.07000000029802322,1.0,527,28,"[-0.23000000417232513, -0.5400000214576721, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29528,3222,0,0,0,0,0,0
29,0,29,1029,28640,29,3028,29,"[141, 142, 143]",3,"[10, 15, 20]",5,1,3,4,0,29,"[1332, 1333, 0]","[0, 0]","[1332, 1333, 1334, 1336, 1337, 1339, 1341, 0, 0, 0, 0, 0, 0, 0, 0]","[1335, 1340]",6029,"[0, 154, 46, 0, 0, 0, 0, 0, 0, 82, 95, 109, 118, 93, 95, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",-0.009999999776482582,-0.03999999910593033,1.0,0.009999999776482582,0.09000000357627869,1.0,528,29,"[-0.10000000149011612, -0.699999988079071, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29529,3222,0,0,0,0,0,0
30,0,30,1030,28641,30,3029,30,"[141, 142, 143]",2,"[10, 15, 20]",5,1,3,4,0,30,"[1343, 1344, 0]","[0, 0]","[1343, 1344, 1345, 1347, 1348, 1350, 1352, 0, 0, 0, 0, 0, 0, 0, 0]","[1346, 1351]",6030,"[0, 180, 50, 0, 0, 0, 0, 0, 0, 76, 97, 111, 115, 91, 90, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",-0.009999999776482582,-0.03999999910593033,1.0,0.0,0.10000000149011612,1.0,529,30,"[-0.28999999165534973, -0.5400000214576721, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29530,3227,0,0,0,0,0,0
31,0,31,1031,28642,31,3030,31,"[141, 142, 143]",3,"[10, 15, 20]",4,2,3,4,0,31,"[1354, 1355, 0]","[0, 0]","[1354, 1355, 1356, 1358, 1359, 1361, 1363, 0, 0, 0, 0, 0, 0, 0, 0]","[1357, 1362]",6031,"[0, 199, 74, 0, 0, 0, 0, 0, 0, 73, 91, 120, 107, 95, 74, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.009999999776482582,-0.019999999552965164,1.0,0.0,0.10000000149011612,1.0,530,31,"[-0.30000001192092896, -0.5, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29531,3247,0,0,0,0,0,0
32,0,32,1032,28643,32,3031,32,"[141, 142, 143]",1,"[10, 15, 20]",5,2,3,4,0,32,"[1365, 1366, 0]","[0, 0]","[1365, 1366, 1367, 1369, 1370, 1372, 1374, 0, 0, 0, 0, 0, 0, 0, 0]","[1368, 1373]",6032,"[0, 165, 48, 0, 0, 0, 0, 0, 0, 90, 90, 105, 114, 95, 101, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",-0.029999999329447746,-0.004999999888241291,1.0,0.0,0.10000000149011612,1.0,531,32,"[-0.25, 0.0, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29532,3273,0,0,0,0,0,0
33,0,33,1033,28644,33,3032,33,"[141, 142, 143]",1,"[10, 15, 20]",2,2,3,4,0,33,"[1376, 1377, 0]","[0, 0]","[1376, 1377, 1378, 1380, 1381, 1383, 1385, 0, 0, 0, 0, 0, 0, 0, 0]","[1379, 1384]",6033,"[0, 270, 65, 0, 0, 0, 0, 0, 0, 93, 110, 99, 80, 95, 75, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.009999999776482582,-0.02500000037252903,1.0,0.029999999329447746,0.09000000357627869,1.0,532,33,"[0.10000000149011612, -0.30000001192092896, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29533,3321,0,0,0,0,0,0
34,0,34,1034,28645,34,3033,34,"[141, 142, 143]",3,"[10, 15, 20]",2,1,3,4,0,34,"[1387, 1388, 0]","[0, 0]","[1387, 1388, 1389, 1391, 1392, 1394, 1396, 0, 0, 0, 0, 0, 0, 0, 0]","[1390, 1395]",6034,"[0, 285, 55, 0, 0, 0, 0, 0, 0, 100, 120, 93, 70, 93, 73, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.0,-0.03500000014901161,1.0,0.0,0.10000000149011612,1.0,533,34,"[-0.20000000298023224, -0.6000000238418579, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29534,3257,0,0,0,0,0,0
35,0,35,1035,28646,35,3034,35,"[141, 142, 143]",1,"[10, 15, 20]",2,2,3,4,0,35,"[1398, 1399, 0]","[0, 0]","[1398, 1399, 1400, 1402, 1403, 1405, 1407, 0, 0, 0, 0, 0, 0, 0, 0]","[1401, 1406]",6035,"[0, 280, 60, 0, 0, 0, 0, 0, 0, 95, 115, 100, 75, 100, 70, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",-0.009999999776482582,-0.019999999552965164,1.0,0.019999999552965164,0.07999999821186066,1.0,534,35,"[-0.5, -0.800000011920929, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29535,3257,0,0,0,0,0,0
36,0,36,1036,28647,36,3035,36,"[141, 142, 143]",2,"[10, 15, 20]",2,2,3,4,0,36,"[1409, 1410, 0]","[0, 0]","[1409, 1410, 1411, 1413, 1414, 1416, 1418, 0, 0, 0, 0, 0, 0, 0, 0]","[1412, 1417]",6036,"[0, 283, 62, 0, 0, 0, 0, 0, 0, 90, 117, 95, 80, 90, 79, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.0,-0.02500000037252903,1.0,0.019999999552965164,0.07999999821186066,1.0,535,36,"[0.14000000059604645, -0.20000000298023224, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29536,3273,0,0,0,0,0,0
37,0,37,1037,28648,37,3036,37,"[141, 142, 143]",1,"[10, 15, 20]",8,1,3,4,0,37,"[1420, 1421, 0]","[0, 0]","[1420, 1421, 1422, 1424, 1425, 1427, 1429, 0, 0, 0, 0, 0, 0, 0, 0]","[1423, 1428]",6037,"[0, 160, 56, 0, 0, 0, 0, 0, 0, 85, 90, 104, 110, 105, 90, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",-0.07000000029802322,0.03500000014901161,1.0,0.0,0.11999999731779099,1.0,536,37,"[-0.20000000298023224, -0.5, 1.600000023841858, 1.600000023841858]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29537,3222,0,0,0,0,0,0
38,0,38,1038,28649,38,3037,38,"[141, 142, 143]",3,"[10, 15, 20]",8,2,3,4,0,38,"[1431, 1432, 0]","[0, 0]","[1431, 1432, 1433, 1435, 1436, 1438, 1440, 0, 0, 0, 0, 0, 0, 0, 0]","[1434, 1439]",6038,"[0, 150, 60, 0, 0, 0, 0, 0, 0, 90, 85, 110, 105, 100, 95, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",-0.029999999329447746,-0.02500000037252903,1.0,0.0,0.09000000357627869,1.0,537,38,"[-0.25999999046325684, -0.6000000238418579, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29538,3227,0,0,0,0,0,0
39,0,39,1039,28650,39,3038,39,"[141, 142, 143]",2,"[10, 15, 20]",8,2,3,4,0,39,"[1442, 1443, 0]","[0, 0]","[1442, 1443, 1444, 1446, 1447, 1449, 1451, 0, 0, 0, 0, 0, 0, 0, 0]","[1445, 1450]",6039,"[0, 154, 65, 0, 0, 0, 0, 0, 0, 85, 81, 105, 100, 112, 100, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.009999999776482582,-0.02500000037252903,1.0,0.019999999552965164,0.10999999940395355,1.0,538,39,"[-0.10000000149011612, -0.6000000238418579, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29539,3321,0,0,0,0,0,0
40,0,40,1040,28651,40,3039,40,"[141, 142, 143]",3,"[10, 15, 20]",8,2,3,4,0,40,"[1453, 1454, 0]","[0, 0]","[1453, 1454, 1455, 1457, 1458, 1460, 1462, 0, 0, 0, 0, 0, 0, 0, 0]","[1456, 1461]",6040,"[0, 170, 59, 0, 0, 0, 0, 0, 0, 77, 80, 109, 107, 110, 93, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.0,0.009999999776482582,1.0,0.009999999776482582,0.11999999731779099,1.0,539,40,"[-0.10000000149011612, -0.6000000238418579, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29540,3273,0,0,0,0,0,0
41,0,41,1041,28652,41,3040,41,"[141, 142, 143]",1,"[10, 15, 20]",4,1,3,3,0,41,"[1464, 1465, 0]","[0, 0]","[1464, 1465, 1466, 1468, 1469, 1471, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1467, 1472]",6041,"[0, 200, 70, 0, 0, 0, 0, 0, 0, 60, 80, 100, 90, 80, 60, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",-0.009999999776482582,-0.03999999910593033,1.0,0.009999999776482582,0.07999999821186066,1.0,540,41,"[-0.10000000149011612, 0.0, 1.5, 1.5]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29541,3278,0,0,0,0,0,0
42,0,42,1042,28653,42,3041,42,"[141, 142, 143]",2,"[10, 15, 20]",4,2,3,3,0,42,"[1473, 1474, 0]","[0, 0]","[1473, 1474, 1475, 1477, 1478, 1480, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1476, 1481]",6042,"[0, 190, 75, 0, 0, 0, 0, 0, 0, 55, 75, 105, 95, 80, 60, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.0,-0.019999999552965164,1.0,0.0,0.07999999821186066,1.0,541,42,"[-0.30000001192092896, -0.4000000059604645, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29542,3278,0,0,0,0,0,0
43,0,43,1043,28654,43,3042,43,"[141, 142, 143]",3,"[10, 15, 20]",4,1,3,3,0,43,"[1482, 1483, 0]","[0, 0]","[1482, 1483, 1484, 1486, 1487, 1489, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1485, 1490]",6043,"[0, 210, 65, 0, 0, 0, 0, 0, 0, 65, 85, 95, 85, 80, 60, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.0,-0.03999999910593033,1.0,0.019999999552965164,0.09000000357627869,1.0,542,43,"[-0.20000000298023224, -0.550000011920929, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29543,3222,0,0,0,0,0,0
44,0,44,1044,28655,44,3043,44,"[141, 142, 143]",1,"[10, 15, 20]",1,2,3,3,0,44,"[1491, 1492, 0]","[0, 0]","[1491, 1492, 1493, 1495, 1496, 1498, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1494, 1499]",6044,"[0, 280, 30, 0, 0, 0, 0, 0, 0, 100, 90, 60, 70, 80, 90, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.009999999776482582,0.019999999552965164,1.0,0.0,0.12999999523162842,1.0,543,44,"[-0.10000000149011612, 0.0, 1.5, 1.5]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29544,3321,0,0,0,0,0,0
45,0,45,1045,28656,45,3044,45,"[141, 142, 143]",2,"[10, 15, 20]",1,2,3,3,0,45,"[1500, 1501, 0]","[0, 0]","[1500, 1501, 1502, 1504, 1505, 1507, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1503, 1508]",6045,"[0, 270, 35, 0, 0, 0, 0, 0, 0, 95, 85, 65, 75, 80, 90, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.0,-0.02500000037252903,1.0,0.0,0.09000000357627869,1.0,544,45,"[-0.20000000298023224, -0.4000000059604645, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29545,3227,0,0,0,0,0,0
46,0,46,1046,28657,46,3045,46,"[141, 142, 143]",3,"[10, 15, 20]",1,1,3,3,0,46,"[1509, 1510, 0]","[0, 0]","[1509, 1510, 1511, 1513, 1514, 1516, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1512, 1517]",6046,"[0, 290, 25, 0, 0, 0, 0, 0, 0, 105, 95, 55, 65, 80, 90, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.0,-0.05000000074505806,1.0,0.0,0.07999999821186066,1.0,545,46,"[-0.20000000298023224, -0.5, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29546,3273,0,0,0,0,0,0
47,0,47,1047,28658,47,3046,47,"[141, 142, 143]",1,"[10, 15, 20]",6,2,3,3,0,47,"[1518, 1519, 0]","[0, 0]","[1518, 1519, 1520, 1522, 1523, 1525, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1521, 1526]",6047,"[0, 240, 50, 0, 0, 0, 0, 0, 0, 80, 60, 70, 80, 90, 100, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.0,-0.019999999552965164,1.0,0.009999999776482582,0.09000000357627869,1.0,546,47,"[0.0, 0.0, 1.5, 1.5]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29547,3247,0,0,0,0,0,0
48,0,48,1048,28659,48,3047,48,"[141, 142, 143]",2,"[10, 15, 20]",6,2,3,3,0,48,"[1527, 1528, 0]","[0, 0]","[1527, 1528, 1529, 1531, 1532, 1534, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1530, 1535]",6048,"[0, 230, 55, 0, 0, 0, 0, 0, 0, 75, 55, 75, 85, 90, 100, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.009999999776482582,0.009999999776482582,1.0,0.009999999776482582,0.15000000596046448,1.0,547,48,"[-0.25, -0.4000000059604645, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29548,3247,0,0,0,0,0,0
49,0,49,1049,28660,49,3048,49,"[141, 142, 143]",3,"[10, 15, 20]",6,1,3,3,0,49,"[1536, 1537, 0]","[0, 0]","[1536, 1537, 1538, 1540, 1541, 1543, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1539, 1544]",6049,"[0, 250, 45, 0, 0, 0, 0, 0, 0, 85, 65, 65, 75, 90, 100, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.0,-0.03999999910593033,1.0,-0.019999999552965164,0.09000000357627869,1.0,548,49,"[-0.25, -0.6000000238418579, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29549,3257,0,0,0,0,0,0
50,0,50,1050,28661,50,3049,50,"[141, 142, 143]",1,"[10, 15, 20]",7,2,3,3,0,50,"[1545, 1546, 0]","[0, 0]","[1545, 1546, 1547, 1549, 1550, 1552, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1548, 1553]",6050,"[0, 320, 40, 0, 0, 0, 0, 0, 0, 90, 90, 80, 80, 60, 70, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",-0.019999999552965164,-0.019999999552965164,1.0,0.0,0.09000000357627869,1.0,549,50,"[-0.10000000149011612, 0.0, 1.5, 1.5]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29550,3222,0,0,0,0,0,0
51,0,51,1051,28662,51,3050,51,"[141, 142, 143]",2,"[10, 15, 20]",7,2,3,3,0,51,"[1554, 1555, 0]","[0, 0]","[1554, 1555, 1556, 1558, 1559, 1561, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1557, 1562]",6051,"[0, 310, 45, 0, 0, 0, 0, 0, 0, 85, 85, 85, 85, 60, 70, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",-0.009999999776482582,-0.019999999552965164,1.0,0.019999999552965164,0.07999999821186066,1.0,550,51,"[-0.10000000149011612, -0.25, 1.600000023841858, 1.600000023841858]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29551,3222,0,0,0,0,0,0
