m_id,m_picture_resource,m_picture_mask,m_picture_mask_param,m_single_unit_id,m_button_type
42,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250050/QP_n_UiTX_Gch_250050_img_main_02,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250050/QP_n_UiTX_Gch_250050_img_mask_02,"[300.0, 1.600000023841858, 0.5, 0.05000000074505806, 1.0, 0.5, 1.0, 1.399999976158142, 0.10000000149011612, 0.5, 1.0, 0.5, 0.5, 1.0, 1.0, 0.4000000059604645, 0.10000000149011612, 1.0, 0.6000000238418579, 0.25, 1.0, 0.4000000059604645, 0.30000001192092896]",3,1002
43,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250050/QP_n_UiTX_Gch_250050_img_main_03,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250050/QP_n_UiTX_Gch_250050_img_mask_03,"[0.0, 2.5999999046325684, 0.5, 0.05000000074505806, 1.0, 0.5, 1.0, 1.0, 0.11999999731779099, 0.6000000238418579, 1.0, 0.6000000238418579, -0.6000000238418579, 0.699999988079071, 1.0, 0.6499999761581421, 0.25, 1.0, 0.800000011920929, 0.4000000059604645, 1.0, 0.800000011920929, 0.4000000059604645]",7,1002
44,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350025/QP_n_UiTX_Gch_350025_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350025/QP_n_UiTX_Gch_350025_img_mask_01,"[40.0, 3.4000000953674316, 0.8999999761581421, 0.10000000149011612, 1.0, 0.5, 1.0, 1.5, 0.699999988079071, 0.800000011920929, 0.8999999761581421, 0.9399999976158142, 1.0, 1.2000000476837158, 0.46000000834465027, 0.6000000238418579, 1.0, 0.15000000596046448, 0.5799999833106995, 1.0, 1.0, 0.949999988079071, 0.1599999964237213]",0,0
45,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350025/QP_n_UiTX_Gch_350025_img_main_02,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350025/QP_n_UiTX_Gch_350025_img_mask_02,"[300.0, 1.600000023841858, 0.5, 0.05000000074505806, 1.0, 0.5, 1.0, 1.399999976158142, 0.10000000149011612, 0.5, 1.0, 0.5, 0.5, 1.0, 1.0, 0.4000000059604645, 0.10000000149011612, 1.0, 0.6000000238418579, 0.25, 1.0, 0.4000000059604645, 0.30000001192092896]",3,1002
46,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350025/QP_n_UiTX_Gch_350025_img_main_03,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350025/QP_n_UiTX_Gch_350025_img_mask_03,"[0.0, 2.5999999046325684, 0.5, 0.05000000074505806, 1.0, 0.5, 1.0, 1.0, 0.11999999731779099, 0.6000000238418579, 1.0, 0.6000000238418579, -0.6000000238418579, 0.699999988079071, 1.0, 0.6499999761581421, 0.25, 1.0, 0.800000011920929, 0.4000000059604645, 1.0, 0.800000011920929, 0.4000000059604645]",7,1002
47,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130090/QP_n_UiTX_Gch_130090_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130090/QP_n_UiTX_Gch_130090_img_mask_01,"[40.0, 2.799999952316284, 1.0, 0.10000000149011612, 1.0, 0.5, 1.0, 1.2000000476837158, 0.6000000238418579, 0.800000011920929, 0.8999999761581421, 1.0, 0.800000011920929, 0.800000011920929, 1.0, 0.7799999713897705, 0.47999998927116394, 1.0, 0.8299999833106995, 0.1899999976158142, 0.14000000059604645, 1.0, 0.1899999976158142]",0,0
49,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250055/QP_n_UiTX_Gch_250055_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250055/QP_n_UiTX_Gch_250055_img_mask_01,"[0.0, 1.75, 0.6000000238418579, 0.05000000074505806, 1.0, 0.5, 1.0, 1.7999999523162842, 0.4000000059604645, 0.800000011920929, 0.8500000238418579, 0.5, 0.6000000238418579, 1.2000000476837158, 0.6000000238418579, 0.30000001192092896, 0.15000000596046448, 1.0, 0.4000000059604645, 0.029999999329447746, 1.0, 0.5, 0.30000001192092896]",72,1002
48,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130095/QP_n_UiTX_Gch_130095_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130095/QP_n_UiTX_Gch_130095_img_mask_01,"[0.0, 1.75, 0.6000000238418579, 0.05000000074505806, 1.0, 0.5, 1.0, 1.7999999523162842, 0.4000000059604645, 0.800000011920929, 0.8500000238418579, 0.5, 0.6000000238418579, 1.2000000476837158, 0.6000000238418579, 0.30000001192092896, 0.15000000596046448, 1.0, 0.4000000059604645, 0.029999999329447746, 1.0, 0.5, 0.30000001192092896]",0,0
57,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250070/QP_n_UiTX_Gch_250070_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250070/QP_n_UiTX_Gch_250070_img_mask_01,"[107.0, 1.2000000476837158, 1.399999976158142, 0.05000000074505806, 1.0, 0.5, 1.0199999809265137, 0.8999999761581421, 3.0, -1.2000000476837158, 0.8500000238418579, -1.0, -15.0, 3.200000047683716, 0.4000000059604645, 0.6000000238418579, 0.8999999761581421, 1.0, 1.0, 1.0, 0.4000000059604645, 0.4000000059604645, 1.0]",99,1002
58,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130100/QP_n_UiTX_Gch_130100_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130100/QP_n_UiTX_Gch_130100_img_mask_01,"[107.0, 1.2000000476837158, 1.399999976158142, 0.05000000074505806, 1.0, 0.5, 1.0199999809265137, 0.8999999761581421, 3.0, -1.2000000476837158, 0.8500000238418579, -1.0, -15.0, 3.200000047683716, 0.4000000059604645, 0.6000000238418579, 0.8999999761581421, 1.0, 1.0, 1.0, 0.4000000059604645, 0.4000000059604645, 1.0]",0,0
60,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250075/QP_n_UiTX_Gch_250075_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250075/QP_n_UiTX_Gch_250075_img_mask_01,"[40.0, 3.4000000953674316, 0.8999999761581421, 0.10000000149011612, 1.0, 0.5, 1.0, 1.5, 0.699999988079071, 0.800000011920929, 0.8999999761581421, 0.9399999976158142, 1.0, 1.2000000476837158, 0.46000000834465027, 0.6000000238418579, 1.0, 0.15000000596046448, 0.5799999833106995, 1.0, 1.0, 0.949999988079071, 0.1599999964237213]",0,0
61,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250075/QP_n_UiTX_Gch_250075_img_main_02,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250075/QP_n_UiTX_Gch_250075_img_mask_02,"[40.0, 3.5, 0.699999988079071, 0.05000000074505806, 1.0, 0.5, 1.0, 1.2999999523162842, 0.0, 0.5, 1.0, 0.800000011920929, 0.3499999940395355, 1.2000000476837158, 0.8999999761581421, 0.6000000238418579, 0.20000000298023224, 0.699999988079071, 0.699999988079071, 0.10000000149011612, 0.8999999761581421, 0.699999988079071, 0.20000000298023224]",4,1002
62,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250075/QP_n_UiTX_Gch_250075_img_main_03,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250075/QP_n_UiTX_Gch_250075_img_mask_03,"[290.0, 1.899999976158142, 0.3499999940395355, 0.05000000074505806, 1.0, 0.5, 1.0, 1.399999976158142, -0.05000000074505806, 0.6000000238418579, 1.0, 0.800000011920929, -1.100000023841858, 1.2999999523162842, 0.8999999761581421, 0.4000000059604645, 0.20000000298023224, 0.8999999761581421, 0.5, 0.20000000298023224, 0.8999999761581421, 0.5, 0.20000000298023224]",6,1002
63,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350030/QP_n_UiTX_Gch_350030_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350030/QP_n_UiTX_Gch_350030_img_mask_01,"[40.0, 3.4000000953674316, 0.8999999761581421, 0.10000000149011612, 1.0, 0.5, 1.0, 1.5, 0.699999988079071, 0.800000011920929, 0.8999999761581421, 0.9399999976158142, 1.0, 1.2000000476837158, 0.46000000834465027, 0.6000000238418579, 1.0, 0.15000000596046448, 0.5799999833106995, 1.0, 1.0, 0.949999988079071, 0.1599999964237213]",0,0
64,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350030/QP_n_UiTX_Gch_350030_img_main_02,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350030/QP_n_UiTX_Gch_350030_img_mask_02,"[40.0, 3.5, 0.699999988079071, 0.05000000074505806, 1.0, 0.5, 1.0, 1.2999999523162842, 0.0, 0.5, 1.0, 0.800000011920929, 0.3499999940395355, 1.2000000476837158, 0.8999999761581421, 0.6000000238418579, 0.20000000298023224, 0.699999988079071, 0.699999988079071, 0.10000000149011612, 0.8999999761581421, 0.699999988079071, 0.20000000298023224]",4,1002
65,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350030/QP_n_UiTX_Gch_350030_img_main_03,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350030/QP_n_UiTX_Gch_350030_img_mask_03,"[290.0, 1.899999976158142, 0.3499999940395355, 0.05000000074505806, 1.0, 0.5, 1.0, 1.399999976158142, -0.05000000074505806, 0.6000000238418579, 1.0, 0.800000011920929, -1.100000023841858, 1.2999999523162842, 0.8999999761581421, 0.4000000059604645, 0.20000000298023224, 0.8999999761581421, 0.5, 0.20000000298023224, 0.8999999761581421, 0.5, 0.20000000298023224]",6,1002
66,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250080/QP_n_UiTX_Gch_250080_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250080/QP_n_UiTX_Gch_250080_img_mask_01,"[310.0, 1.5, 1.2000000476837158, 0.05000000074505806, 1.0, 0.5, 1.0, 1.5, -1.5, 1.5, 0.8999999761581421, 1.5, -1.0, 1.0, 1.0, 0.3700000047683716, 0.07000000029802322, 1.0, 0.33000001311302185, 0.07000000029802322, 1.0, 0.800000011920929, 0.12999999523162842]",0,0
67,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250080/QP_n_UiTX_Gch_250080_img_main_02,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250080/QP_n_UiTX_Gch_250080_img_mask_02,"[30.0, 3.0, 0.800000011920929, 0.05000000074505806, 0.5, 0.30000001192092896, 1.0099999904632568, 1.0, 1.0, 0.800000011920929, 0.8500000238418579, 0.8999999761581421, 1.0, 1.0, 0.30000001192092896, 0.6000000238418579, 0.800000011920929, 0.800000011920929, 0.4000000059604645, 0.20000000298023224, 0.30000001192092896, 0.699999988079071, 1.0]",103,1002
68,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130105/QP_n_UiTX_Gch_130105_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130105/QP_n_UiTX_Gch_130105_img_mask_01,"[30.0, 3.0, 0.800000011920929, 0.05000000074505806, 0.5, 0.30000001192092896, 1.0099999904632568, 1.0, 1.0, 0.800000011920929, 0.8500000238418579, 0.8999999761581421, 1.0, 1.0, 0.30000001192092896, 0.6000000238418579, 0.800000011920929, 0.800000011920929, 0.4000000059604645, 0.20000000298023224, 0.30000001192092896, 0.699999988079071, 1.0]",0,0
69,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250085/QP_n_UiTX_Gch_250085_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250085/QP_n_UiTX_Gch_250085_img_mask_01,"[40.0, 3.4000000953674316, 0.8999999761581421, 0.10000000149011612, 1.0, 0.5, 1.0, 1.5, 0.699999988079071, 0.800000011920929, 0.8999999761581421, 0.9399999976158142, 1.0, 1.2000000476837158, 0.46000000834465027, 0.6000000238418579, 1.0, 0.15000000596046448, 0.5799999833106995, 1.0, 1.0, 0.949999988079071, 0.1599999964237213]",0,0
70,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250085/QP_n_UiTX_Gch_250085_img_main_02,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250085/QP_n_UiTX_Gch_250085_img_mask_02,"[0.0, 1.7999999523162842, 0.699999988079071, 0.05000000074505806, 1.0, 0.5, 1.0, 1.5, 0.4000000059604645, 1.2000000476837158, 0.8500000238418579, 0.800000011920929, 0.800000011920929, 0.6000000238418579, 1.0, 0.8100000023841858, 0.4399999976158142, 0.3700000047683716, 1.0, 0.44999998807907104, 0.949999988079071, 1.0, 0.14000000059604645]",105,1002
71,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250085/QP_n_UiTX_Gch_250085_img_main_03,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250085/QP_n_UiTX_Gch_250085_img_mask_03,"[14.0, 1.350000023841858, 0.3499999940395355, 0.05000000074505806, 1.0, 0.5, 1.0, 1.25, 0.25, 0.8500000238418579, 0.8500000238418579, 0.800000011920929, 0.6000000238418579, 0.6000000238418579, 0.5, 0.6000000238418579, 0.3499999940395355, 0.9900000095367432, 1.0, 0.6000000238418579, 0.699999988079071, 1.0, 0.11999999731779099]",84,1002
72,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350035/QP_n_UiTX_Gch_350035_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350035/QP_n_UiTX_Gch_350035_img_mask_01,"[40.0, 3.4000000953674316, 0.8999999761581421, 0.10000000149011612, 1.0, 0.5, 1.0, 1.5, 0.699999988079071, 0.800000011920929, 0.8999999761581421, 0.9399999976158142, 1.0, 1.2000000476837158, 0.46000000834465027, 0.6000000238418579, 1.0, 0.15000000596046448, 0.5799999833106995, 1.0, 1.0, 0.949999988079071, 0.1599999964237213]",0,0
73,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350035/QP_n_UiTX_Gch_350035_img_main_02,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350035/QP_n_UiTX_Gch_350035_img_mask_02,"[0.0, 1.7999999523162842, 0.699999988079071, 0.05000000074505806, 1.0, 0.5, 1.0, 1.5, 0.4000000059604645, 1.2000000476837158, 0.8500000238418579, 0.800000011920929, 0.800000011920929, 0.6000000238418579, 1.0, 0.8100000023841858, 0.4399999976158142, 0.3700000047683716, 1.0, 0.44999998807907104, 0.949999988079071, 1.0, 0.14000000059604645]",105,1002
74,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350035/QP_n_UiTX_Gch_350035_img_main_03,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350035/QP_n_UiTX_Gch_350035_img_mask_03,"[14.0, 1.350000023841858, 0.3499999940395355, 0.05000000074505806, 1.0, 0.5, 1.0, 1.25, 0.25, 0.8500000238418579, 0.8500000238418579, 0.800000011920929, 0.6000000238418579, 0.6000000238418579, 0.5, 0.6000000238418579, 0.3499999940395355, 0.9900000095367432, 1.0, 0.6000000238418579, 0.699999988079071, 1.0, 0.11999999731779099]",84,1002
75,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130110/QP_n_UiTX_Gch_130110_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130110/QP_n_UiTX_Gch_130110_img_mask_01,"[0.0, 1.7999999523162842, 0.699999988079071, 0.05000000074505806, 1.0, 0.5, 1.0, 1.5, 0.4000000059604645, 1.2000000476837158, 0.8500000238418579, 0.800000011920929, 0.800000011920929, 0.6000000238418579, 1.0, 0.8100000023841858, 0.4399999976158142, 0.3700000047683716, 1.0, 0.44999998807907104, 0.949999988079071, 1.0, 0.14000000059604645]",0,0
76,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130115/QP_n_UiTX_Gch_130115_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130115/QP_n_UiTX_Gch_130115_img_mask_01,"[14.0, 1.350000023841858, 0.3499999940395355, 0.05000000074505806, 1.0, 0.5, 1.0, 1.25, 0.25, 0.8500000238418579, 0.8500000238418579, 0.800000011920929, 0.6000000238418579, 0.6000000238418579, 0.5, 0.6000000238418579, 0.3499999940395355, 0.9900000095367432, 1.0, 0.6000000238418579, 0.699999988079071, 1.0, 0.11999999731779099]",0,0
77,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250090/QP_n_UiTX_Gch_250090_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250090/QP_n_UiTX_Gch_250090_img_mask_01,"[44.0, 3.799999952316284, 1.399999976158142, 0.25, 1.0, 0.5, 1.0, 1.0, 1.0, 0.8999999761581421, 0.8999999761581421, 1.0, 1.25, 0.800000011920929, 1.0, 0.4099999964237213, 0.11999999731779099, 1.0, 0.2199999988079071, 0.029999999329447746, 0.25999999046325684, 1.0, 0.8999999761581421]",187,1003
78,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130120/QP_n_UiTX_Gch_130120_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130120/QP_n_UiTX_Gch_130120_img_mask_01,"[44.0, 3.799999952316284, 1.399999976158142, 0.25, 1.0, 0.5, 1.0, 1.0, 1.0, 0.8999999761581421, 0.8999999761581421, 1.0, 1.25, 0.800000011920929, 1.0, 0.4099999964237213, 0.11999999731779099, 1.0, 0.2199999988079071, 0.029999999329447746, 0.25999999046325684, 1.0, 0.8999999761581421]",0,0
90,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350045/QP_n_UiTX_Gch_350045_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350045/QP_n_UiTX_Gch_350045_img_mask_01,"[40.0, 3.4000000953674316, 0.8999999761581421, 0.10000000149011612, 1.0, 0.5, 1.0, 1.5, 0.699999988079071, 0.800000011920929, 0.8999999761581421, 0.9399999976158142, 1.0, 1.2000000476837158, 0.46000000834465027, 0.6000000238418579, 1.0, 0.15000000596046448, 0.5799999833106995, 1.0, 1.0, 0.949999988079071, 0.1599999964237213]",187,1004
79,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250095/QP_n_UiTX_Gch_250095_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250095/QP_n_UiTX_Gch_250095_img_mask_01,"[308.0, 3.7200000286102295, 1.2000000476837158, 0.36000001430511475, 0.6000000238418579, 0.25, 1.0, 1.100000023841858, -0.800000011920929, 0.800000011920929, 0.8999999761581421, 1.5, -1.2000000476837158, 0.8199999928474426, 1.0, 0.6100000143051147, 0.25999999046325684, 1.0, 0.8600000143051147, 0.10999999940395355, 0.1899999976158142, 0.6600000262260437, 1.0]",184,1003
80,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130125/QP_n_UiTX_Gch_130125_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130125/QP_n_UiTX_Gch_130125_img_mask_01,"[308.0, 3.7200000286102295, 1.2000000476837158, 0.36000001430511475, 0.6000000238418579, 0.25, 1.0, 1.100000023841858, -0.800000011920929, 0.800000011920929, 0.8999999761581421, 1.5, -1.2000000476837158, 0.8199999928474426, 1.0, 0.6100000143051147, 0.25999999046325684, 1.0, 0.8600000143051147, 0.10999999940395355, 0.1899999976158142, 0.6600000262260437, 1.0]",0,0
91,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350050/QP_n_UiTX_Gch_350050_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350050/QP_n_UiTX_Gch_350050_img_mask_01,"[40.0, 3.4000000953674316, 0.8999999761581421, 0.10000000149011612, 1.0, 0.5, 1.0, 1.5, 0.699999988079071, 0.800000011920929, 0.8999999761581421, 0.9399999976158142, 1.0, 1.2000000476837158, 0.46000000834465027, 0.6000000238418579, 1.0, 0.15000000596046448, 0.5799999833106995, 1.0, 1.0, 0.949999988079071, 0.1599999964237213]",184,1004
81,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250100/QP_n_UiTX_Gch_250100_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250100/QP_n_UiTX_Gch_250100_img_mask_01,"[37.5, 1.7000000476837158, 0.7599999904632568, 0.15000000596046448, 0.8100000023841858, 0.30000001192092896, 1.0, 1.1399999856948853, 0.4300000071525574, 0.800000011920929, 0.8999999761581421, 0.949999988079071, 0.699999988079071, 1.0, 0.5799999833106995, 1.0, 0.41999998688697815, 0.5099999904632568, 1.0, 0.17000000178813934, 0.05999999865889549, 0.5400000214576721, 1.0]",185,1003
82,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130130/QP_n_UiTX_Gch_130130_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130130/QP_n_UiTX_Gch_130130_img_mask_01,"[37.5, 1.7000000476837158, 0.7599999904632568, 0.15000000596046448, 0.8100000023841858, 0.30000001192092896, 1.0, 1.1399999856948853, 0.4300000071525574, 0.800000011920929, 0.8999999761581421, 0.949999988079071, 0.699999988079071, 1.0, 0.5799999833106995, 1.0, 0.41999998688697815, 0.5099999904632568, 1.0, 0.17000000178813934, 0.05999999865889549, 0.5400000214576721, 1.0]",0,0
92,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350055/QP_n_UiTX_Gch_350055_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350055/QP_n_UiTX_Gch_350055_img_mask_01,"[40.0, 3.4000000953674316, 0.8999999761581421, 0.10000000149011612, 1.0, 0.5, 1.0, 1.5, 0.699999988079071, 0.800000011920929, 0.8999999761581421, 0.9399999976158142, 1.0, 1.2000000476837158, 0.46000000834465027, 0.6000000238418579, 1.0, 0.15000000596046448, 0.5799999833106995, 1.0, 1.0, 0.949999988079071, 0.1599999964237213]",185,1004
83,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250105/QP_n_UiTX_Gch_250105_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250105/QP_n_UiTX_Gch_250105_img_mask_01,"[17.0, 1.840000033378601, 0.6899999976158142, 0.05000000074505806, 1.0, 0.5, 1.0, 1.1699999570846558, 0.3499999940395355, 1.0499999523162842, 0.8999999761581421, 0.9599999785423279, 0.7900000214576721, 0.800000011920929, 1.0, 0.4300000071525574, 0.23999999463558197, 1.0, 0.18000000715255737, 0.11999999731779099, 0.44999998807907104, 0.23999999463558197, 1.0]",107,1002
84,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130135/QP_n_UiTX_Gch_130135_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130135/QP_n_UiTX_Gch_130135_img_mask_01,"[17.0, 1.840000033378601, 0.6899999976158142, 0.05000000074505806, 1.0, 0.5, 1.0, 1.1699999570846558, 0.3499999940395355, 1.0499999523162842, 0.8999999761581421, 0.9599999785423279, 0.7900000214576721, 0.800000011920929, 1.0, 0.4300000071525574, 0.23999999463558197, 1.0, 0.18000000715255737, 0.11999999731779099, 0.44999998807907104, 0.23999999463558197, 1.0]",0,0
93,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350060/QP_n_UiTX_Gch_350060_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350060/QP_n_UiTX_Gch_350060_img_mask_01,"[40.0, 3.4000000953674316, 0.8999999761581421, 0.10000000149011612, 1.0, 0.5, 1.0, 1.5, 0.699999988079071, 0.800000011920929, 0.8999999761581421, 0.9399999976158142, 1.0, 1.2000000476837158, 0.46000000834465027, 0.6000000238418579, 1.0, 0.15000000596046448, 0.5799999833106995, 1.0, 1.0, 0.949999988079071, 0.1599999964237213]",107,1005
89,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350040/QP_n_UiTX_Gch_350040_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350040/QP_n_UiTX_Gch_350040_img_mask_01,"[40.0, 2.799999952316284, 3.0, 0.30000001192092896, 1.0, 0.699999988079071, 1.0, 0.6000000238418579, 1.2000000476837158, 1.0, 1.0, 0.75, 1.2000000476837158, 1.399999976158142, 0.23999999463558197, 0.47999998927116394, 1.0, 1.0, 0.3100000023841858, 0.10999999940395355, 0.46000000834465027, 1.0, 0.3199999928474426]",0,0
85,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250110/QP_n_UiTX_Gch_250110_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250110/QP_n_UiTX_Gch_250110_img_mask_01,"[30.0, 1.5, 0.44999998807907104, 0.05000000074505806, 0.6000000238418579, 0.5, 1.0, 0.800000011920929, 0.6499999761581421, -1.0, 0.949999988079071, 0.6000000238418579, 1.399999976158142, -1.2000000476837158, 0.17000000178813934, 0.4000000059604645, 0.800000011920929, 0.800000011920929, 0.8999999761581421, 1.0, 0.15000000596046448, 0.15000000596046448, 0.699999988079071]",66,1002
86,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130140/QP_n_UiTX_Gch_130140_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130140/QP_n_UiTX_Gch_130140_img_mask_01,"[30.0, 1.5, 0.44999998807907104, 0.05000000074505806, 0.6000000238418579, 0.5, 1.0, 0.800000011920929, 0.6499999761581421, -1.0, 0.949999988079071, 0.6000000238418579, 1.399999976158142, -1.2000000476837158, 0.17000000178813934, 0.4000000059604645, 0.800000011920929, 0.800000011920929, 0.8999999761581421, 1.0, 0.15000000596046448, 0.15000000596046448, 0.699999988079071]",0,0
94,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350065/QP_n_UiTX_Gch_350065_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350065/QP_n_UiTX_Gch_350065_img_mask_01,"[40.0, 3.4000000953674316, 0.8999999761581421, 0.10000000149011612, 1.0, 0.5, 1.0, 1.5, 0.699999988079071, 0.800000011920929, 0.8999999761581421, 0.9399999976158142, 1.0, 1.2000000476837158, 0.46000000834465027, 0.6000000238418579, 1.0, 0.15000000596046448, 0.5799999833106995, 1.0, 1.0, 0.949999988079071, 0.1599999964237213]",66,1005
87,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250115/QP_n_UiTX_Gch_250115_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250115/QP_n_UiTX_Gch_250115_img_mask_01,"[300.0, 3.0, 0.6000000238418579, 0.5, 0.20000000298023224, 0.0, 1.0299999713897705, 1.5, -0.800000011920929, 0.800000011920929, 0.8500000238418579, 1.0, -1.0, 1.0, 0.699999988079071, 0.4000000059604645, 0.30000001192092896, 0.4000000059604645, 0.30000001192092896, 0.5, 0.800000011920929, 0.800000011920929, 1.0]",80,1002
88,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130145/QP_n_UiTX_Gch_130145_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130145/QP_n_UiTX_Gch_130145_img_mask_01,"[300.0, 3.0, 0.6000000238418579, 0.5, 0.20000000298023224, 0.0, 1.0299999713897705, 1.5, -0.800000011920929, 0.800000011920929, 0.8500000238418579, 1.0, -1.0, 1.0, 0.699999988079071, 0.4000000059604645, 0.30000001192092896, 0.4000000059604645, 0.30000001192092896, 0.5, 0.800000011920929, 0.800000011920929, 1.0]",0,0
95,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350070/QP_n_UiTX_Gch_350070_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350070/QP_n_UiTX_Gch_350070_img_mask_01,"[40.0, 3.4000000953674316, 0.8999999761581421, 0.10000000149011612, 1.0, 0.5, 1.0, 1.5, 0.699999988079071, 0.800000011920929, 0.8999999761581421, 0.9399999976158142, 1.0, 1.2000000476837158, 0.46000000834465027, 0.6000000238418579, 1.0, 0.15000000596046448, 0.5799999833106995, 1.0, 1.0, 0.949999988079071, 0.1599999964237213]",80,1005
