m_id,m_Treasures,m_Probability
10142,"[9152, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10143,"[9153, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10144,"[9154, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10145,"[9155, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10146,"[9156, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10218,"[9237, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10248,"[9267, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10173,"[9183, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10174,"[9185, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10175,"[9187, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10176,"[9189, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10177,"[9191, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10178,"[9193, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10179,"[9195, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10180,"[9197, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10181,"[9199, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10329,"[9327, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10330,"[9328, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10331,"[9329, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10332,"[9330, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10333,"[9331, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10334,"[9332, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10182,"[9201, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10183,"[9202, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10184,"[9203, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10219,"[9238, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10220,"[9239, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10221,"[9240, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10301,"[9299, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3001,"[3001, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3002,"[3002, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3003,"[3003, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3004,"[3004, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3010,"[3010, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3011,"[3011, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3012,"[3012, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3013,"[3013, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3020,"[3020, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3021,"[3021, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3022,"[3022, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3023,"[3023, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3030,"[3030, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3031,"[3031, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3032,"[3032, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3033,"[3033, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3040,"[3040, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3041,"[3041, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3042,"[3042, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3043,"[3043, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3044,"[3050, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3045,"[3051, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3046,"[3052, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3047,"[3053, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10147,"[9157, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10148,"[9158, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10149,"[9159, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10150,"[9160, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10151,"[9161, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10152,"[9162, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10153,"[9163, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10154,"[9164, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10155,"[9165, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10156,"[9166, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10157,"[9167, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10158,"[9168, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10159,"[9169, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10160,"[9170, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10161,"[9171, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10162,"[9172, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10163,"[9173, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10164,"[9174, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10165,"[9175, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10166,"[9176, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10167,"[9177, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10168,"[9178, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7146,"[7146, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7147,"[7147, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7148,"[7148, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7149,"[7149, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10210,"[9229, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10211,"[9230, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10212,"[9231, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10213,"[9232, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4001,"[4001, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4002,"[4002, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4003,"[4003, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4004,"[4004, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4005,"[4005, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4010,"[4010, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4011,"[4011, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4012,"[4012, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4013,"[4013, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4020,"[4020, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4021,"[4021, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4022,"[4022, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4023,"[4023, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4030,"[4030, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4031,"[4031, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4032,"[4032, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4033,"[4033, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4034,"[4034, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4035,"[4035, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4040,"[4040, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4041,"[4041, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4042,"[4042, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4043,"[4043, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4044,"[4044, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4050,"[4050, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4051,"[4051, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4052,"[4052, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4053,"[4053, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4060,"[4060, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4061,"[4061, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4062,"[4062, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4070,"[4070, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4071,"[4071, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4072,"[4072, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4073,"[4073, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7150,"[7150, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7151,"[7151, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7152,"[7152, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7153,"[7153, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7171,"[8014, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7172,"[8015, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5001,"[5001, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5002,"[5002, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5003,"[5003, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5004,"[5004, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5005,"[5005, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5006,"[5006, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5010,"[5010, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5011,"[5011, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5012,"[5012, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5013,"[5013, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5020,"[5020, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5021,"[5021, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5022,"[5022, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5023,"[5023, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5030,"[5030, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5031,"[5031, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5032,"[5032, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5033,"[5033, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10119,"[9129, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10120,"[9130, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10121,"[9131, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10122,"[9132, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10123,"[9133, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10124,"[9134, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10125,"[9135, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10126,"[9136, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10127,"[9137, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10128,"[9138, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10129,"[9139, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10130,"[9140, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10131,"[9141, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10132,"[9142, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10133,"[9143, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10134,"[9144, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10135,"[9145, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10136,"[9146, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10137,"[9147, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10138,"[9148, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10139,"[9149, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10140,"[9150, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10141,"[9151, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7154,"[7154, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7155,"[7155, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7156,"[7156, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7157,"[7157, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10169,"[9179, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10170,"[9180, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10171,"[9181, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10172,"[9182, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6001,"[6001, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6002,"[6002, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6003,"[6003, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6004,"[6004, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6005,"[6005, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6010,"[6010, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6011,"[6011, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6012,"[6012, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6013,"[6013, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6014,"[6014, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6020,"[6020, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6021,"[6021, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6022,"[6022, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6023,"[6023, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6024,"[6024, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6025,"[6025, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6030,"[6030, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6031,"[6031, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6032,"[6032, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6033,"[6033, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6034,"[6034, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6040,"[6040, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6041,"[6041, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6042,"[6042, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6043,"[6043, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6044,"[6044, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6050,"[6050, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6051,"[6051, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6052,"[6052, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
