m_id,m_SE,m_CloseMinimapIcon,m_OpenMinimapIcon,m_Priority,m_RepopType,m_RepopValue,m_KeyId,m_RewardType,m_RewardItemId,m_RewardItemNum,m_RewardOption0,m_RewardProbability,m_EffectId,m_ClosePath,m_OpenPath
7140,957,0,0,0,1,600,"[0, 0, 0]","[250, 250, 0, 0, 0, 0, 0, 0, 0, 0]","[56, 58, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[910, 90, 0, 0, 0, 0, 0, 0, 0, 0]",1176,,
7172,957,0,0,0,1,600,"[0, 0, 0]","[250, 250, 0, 0, 0, 0, 0, 0, 0, 0]","[58, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1176,,
7141,957,0,0,0,1,600,"[0, 0, 0]","[250, 250, 0, 0, 0, 0, 0, 0, 0, 0]","[217, 218, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[910, 90, 0, 0, 0, 0, 0, 0, 0, 0]",1176,,
7173,957,0,0,0,1,600,"[0, 0, 0]","[250, 250, 0, 0, 0, 0, 0, 0, 0, 0]","[218, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1176,,
9055,957,0,0,0,1,600,"[0, 0, 0]","[250, 250, 0, 0, 0, 0, 0, 0, 0, 0]","[68, 2000, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[910, 90, 0, 0, 0, 0, 0, 0, 0, 0]",1176,,
9056,957,0,0,0,1,600,"[0, 0, 0]","[250, 250, 0, 0, 0, 0, 0, 0, 0, 0]","[184, 2001, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[910, 90, 0, 0, 0, 0, 0, 0, 0, 0]",1176,,
9057,957,0,0,0,1,600,"[0, 0, 0]","[250, 250, 0, 0, 0, 0, 0, 0, 0, 0]","[242, 2001, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[910, 90, 0, 0, 0, 0, 0, 0, 0, 0]",1176,,
9058,957,0,0,0,1,600,"[0, 0, 0]","[250, 250, 0, 0, 0, 0, 0, 0, 0, 0]","[126, 2000, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[910, 90, 0, 0, 0, 0, 0, 0, 0, 0]",1176,,
9125,957,0,0,0,1,600,"[0, 0, 0]","[250, 250, 0, 0, 0, 0, 0, 0, 0, 0]","[245, 2013, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[910, 90, 0, 0, 0, 0, 0, 0, 0, 0]",1176,,
9126,957,0,0,0,1,600,"[0, 0, 0]","[250, 250, 0, 0, 0, 0, 0, 0, 0, 0]","[129, 2013, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[910, 90, 0, 0, 0, 0, 0, 0, 0, 0]",1176,,
9127,957,0,0,0,1,600,"[0, 0, 0]","[250, 250, 0, 0, 0, 0, 0, 0, 0, 0]","[71, 2012, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[910, 90, 0, 0, 0, 0, 0, 0, 0, 0]",1176,,
9128,957,0,0,0,1,600,"[0, 0, 0]","[250, 250, 0, 0, 0, 0, 0, 0, 0, 0]","[187, 2012, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[910, 90, 0, 0, 0, 0, 0, 0, 0, 0]",1176,,
2001,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
2002,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10802, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
2003,426,2,3,0,0,0,"[0, 0, 0]","[200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[150, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
2004,426,2,3,0,0,0,"[0, 0, 0]","[250, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[101, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Close.ObjMD_Treasure_A_Wood_Close,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Open.ObjMD_Treasure_A_Wood_Open
2010,426,2,3,0,0,0,"[0, 0, 0]","[200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[150, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
2011,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10807, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
2012,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1403, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
2013,426,2,3,0,0,0,"[0, 0, 0]","[250, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[217, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Close.ObjMD_Treasure_A_Wood_Close,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Open.ObjMD_Treasure_A_Wood_Open
2014,426,2,3,0,0,0,"[0, 0, 0]","[250, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[101, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Close.ObjMD_Treasure_A_Wood_Close,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Open.ObjMD_Treasure_A_Wood_Open
2020,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1412, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
2021,426,2,3,0,0,0,"[0, 0, 0]","[250, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[225, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Close.ObjMD_Treasure_A_Wood_Close,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Open.ObjMD_Treasure_A_Wood_Open
2022,426,2,3,0,0,0,"[0, 0, 0]","[250, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[166, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Close.ObjMD_Treasure_A_Wood_Close,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Open.ObjMD_Treasure_A_Wood_Open
2023,426,2,3,0,0,0,"[0, 0, 0]","[200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2500, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
2024,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1011, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
2030,426,2,3,0,0,0,"[0, 0, 0]","[250, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[108, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Close.ObjMD_Treasure_A_Wood_Close,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Open.ObjMD_Treasure_A_Wood_Open
2031,426,2,3,0,0,0,"[0, 0, 0]","[200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3000, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
2032,426,2,3,0,0,0,"[0, 0, 0]","[210, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[50207, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
2033,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[212, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
2040,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10008, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
2041,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10811, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
2042,426,2,3,0,0,0,"[0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
2043,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[607, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
2050,426,2,3,0,0,0,"[0, 0, 0]","[200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[500, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
2051,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10612, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
2052,426,2,3,0,0,0,"[0, 0, 0]","[250, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[105, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Close.ObjMD_Treasure_A_Wood_Close,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Open.ObjMD_Treasure_A_Wood_Open
2053,426,2,3,0,0,0,"[0, 0, 0]","[250, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[49, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Close.ObjMD_Treasure_A_Wood_Close,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Open.ObjMD_Treasure_A_Wood_Open
2060,426,2,3,0,0,0,"[0, 0, 0]","[250, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[160, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Close.ObjMD_Treasure_A_Wood_Close,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Open.ObjMD_Treasure_A_Wood_Open
2061,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10208, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
2062,426,2,3,0,0,0,"[0, 0, 0]","[250, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[46, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Close.ObjMD_Treasure_A_Wood_Close,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Open.ObjMD_Treasure_A_Wood_Open
2070,426,2,3,0,0,0,"[0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
2071,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[408, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
2072,426,2,3,0,0,0,"[0, 0, 0]","[250, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[44, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Close.ObjMD_Treasure_A_Wood_Close,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Open.ObjMD_Treasure_A_Wood_Open
2080,426,2,3,0,0,0,"[0, 0, 0]","[200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
2081,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[203, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
2082,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10202, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
7142,957,0,0,0,1,600,"[0, 0, 0]","[250, 250, 0, 0, 0, 0, 0, 0, 0, 0]","[219, 222, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[910, 90, 0, 0, 0, 0, 0, 0, 0, 0]",1176,,
