m_id,m_Type,m_TitleID,m_TabID,m_CategoryID,m_IconID,m_PlayerID,m_ApperStoryBookCondition,m_ApperQuestCondition,m_ArrayApperQuestCondition,m_ApperCondition,m_ArrayApperCondition,m_OpenCondition,m_ReadCondition,m_FirstRewardType,m_FirstArrayRewardType,m_FirstRewardItemID,m_FirstArrayRewardItemID,m_FirstRewardItemNum,m_FirstArrayRewardItemNum,m_RewardType,m_ArrayRewardType,m_RewardItemID,m_ArrayRewardItemID,m_RewardItemNum,m_ArrayRewardItemNum,m_SortPriority,m_EventID,m_BattleLevel,m_BattleGradeInvalid,m_RewardInfluenceWealth,m_RewardInfluencePower,m_RewardInfluenceFame,m_StartTimestamp,m_EndTimestamp,m_EndType,m_EndTypePlayerID
96,2,267,30,1,0,107,0,0,"[0, 0, 0]",1000009,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",5,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",299994,8791,0,194,0,0,0,0,0,0,0
97,1,268,17,1,9205,0,0,0,"[0, 0, 0]",103951,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",8,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",390990,8794,0,194,0,0,0,0,0,0,0
98,1,269,17,1,9205,0,97,0,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",8,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",390991,8796,0,194,0,0,0,0,0,0,0
99,1,270,17,1,9205,0,98,0,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",8,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",390992,8792,0,194,0,0,0,0,0,0,0
100,1,271,35,3,9204,0,99,0,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",520997,8692,0,194,0,0,0,0,0,0,0
101,1,272,23,2,5102,0,0,1003030,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",5,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",220501,8821,0,194,0,0,0,0,0,0,0
121,1,332,32,2,0,73,0,1004040,"[0, 0, 0]",0,[0],"[103, 104, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",255,"[0, 0, 0]",9020,"[0, 0, 0]",20,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",420997,9014,0,194,0,0,0,0,0,0,0
123,1,334,32,2,0,68,0,1004040,"[0, 0, 0]",1000005,[0],"[107, 108, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",255,"[0, 0, 0]",9020,"[0, 0, 0]",20,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",420999,8992,0,194,0,0,0,0,0,0,0
125,2,336,30,1,0,132,0,0,"[0, 0, 0]",1000005,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",5,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",299991,9058,0,194,0,0,0,0,0,0,0
126,1,337,17,2,9205,0,0,0,"[0, 0, 0]",0,[0],"[15, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",270,"[0, 0, 0]",14,"[0, 0, 0]",20,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",390982,9059,0,194,0,0,0,0,0,0,0
127,1,338,17,2,9205,0,126,0,"[0, 0, 0]",0,[0],"[51, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",270,"[0, 0, 0]",14,"[0, 0, 0]",20,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",390983,9055,0,194,0,0,0,0,0,0,0
129,1,340,17,2,9205,0,127,0,"[0, 0, 0]",0,[0],"[109, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",270,"[0, 0, 0]",14,"[0, 0, 0]",30,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",390985,9056,0,194,0,0,0,0,0,0,0
130,1,341,17,1,9205,0,129,0,"[0, 0, 0]",0,[0],"[110, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",270,"[0, 0, 0]",14,"[0, 0, 0]",30,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",390986,9061,0,194,0,0,0,0,0,0,0
132,1,343,17,1,9205,0,0,5000030,"[0, 0, 0]",0,[0],"[111, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",270,"[0, 0, 0]",14,"[0, 0, 0]",30,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",390987,9057,0,194,0,0,0,0,0,0,0
139,1,373,36,1,9205,0,0,0,"[0, 0, 0]",104455,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",270,"[0, 0, 0]",54,"[0, 0, 0]",60,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",510001,9132,0,194,0,0,0,0,0,0,0
140,1,374,36,1,5100,0,0,0,"[0, 0, 0]",104455,[0],"[122, 123, 0, 0, 0, 0, 0, 0]","[128, 0, 0]",270,"[0, 0, 0]",54,"[0, 0, 0]",60,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",510002,9126,0,194,0,0,0,0,0,0,0
141,1,375,36,1,5100,0,140,0,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[128, 0, 0]",270,"[0, 0, 0]",54,"[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",510003,9145,0,194,0,0,0,0,0,0,0
142,1,376,36,1,5101,0,0,0,"[0, 0, 0]",104456,[0],"[122, 124, 0, 0, 0, 0, 0, 0]","[128, 0, 0]",270,"[0, 0, 0]",54,"[0, 0, 0]",60,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",510005,9147,0,194,0,0,0,0,0,0,0
143,1,377,36,1,5101,0,142,0,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[128, 0, 0]",270,"[0, 0, 0]",54,"[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",510006,9148,0,194,0,0,0,0,0,0,0
144,1,378,36,3,9204,0,141,0,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[128, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",510004,9105,0,194,0,0,0,0,0,0,0
145,1,379,36,3,9204,0,143,0,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[128, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",510007,9106,0,194,0,0,0,0,0,0,0
174,2,489,30,1,0,75,0,0,"[0, 0, 0]",104589,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",5,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",299982,9335,0,194,0,0,0,0,0,0,0
10001,1,10001,35,3,9204,0,0,1001020,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",9999997,100001,0,194,0,0,0,1647997200,1649142000,1,0
10002,1,10002,35,3,9204,0,0,1002020,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",9999998,100002,0,194,0,0,0,1647997200,1649142000,1,0
10003,1,10003,35,3,9204,0,0,1003020,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",9999999,100003,0,194,0,0,0,1647997200,1649142000,1,0
10004,1,10004,35,3,9204,0,0,1004090,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",9999996,100004,0,194,0,0,0,0,0,0,0
10005,1,10005,35,3,9204,0,0,1001030,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",9999993,100005,0,194,0,0,0,0,0,0,0
10006,1,10006,35,3,9204,0,0,1002030,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",9999994,100006,0,194,0,0,0,0,0,0,0
10007,1,10007,35,3,9204,0,0,1003030,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",9999995,100007,0,194,0,0,0,0,0,0,0
10304,1,821,14,3,9204,0,0,0,"[0, 0, 0]",1000020,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",200,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",9999997,10196,0,194,0,0,0,1671613200,1674630000,1,0
10008,1,10008,35,3,9204,0,0,0,"[0, 0, 0]",1000018,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",8000000,7673,0,194,0,0,0,1670400000,1672221600,1,0
10009,1,10009,35,3,9204,0,0,0,"[0, 0, 0]",1000019,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",8000001,7729,0,194,0,0,0,1672563600,1673431200,1,0
