m_id,m_RewardType,m_RewardItemId,m_DropRates,m_DropCntF,m_DropCntR,m_RewardOption0,m_EventDropQuestIDs
696,"[250, 0, 0, 0, 0]","[72, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
697,"[250, 0, 0, 0, 0]","[188, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
698,"[250, 0, 0, 0, 0]","[130, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
699,"[250, 0, 0, 0, 0]","[246, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
700,"[250, 0, 0, 0, 0]","[246, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
701,"[250, 0, 0, 0, 0]","[72, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
702,"[250, 0, 0, 0, 0]","[130, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
703,"[250, 0, 0, 0, 0]","[188, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
704,"[250, 0, 0, 0, 0]","[131, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
705,"[250, 0, 0, 0, 0]","[247, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
706,"[250, 0, 0, 0, 0]","[189, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
707,"[250, 0, 0, 0, 0]","[73, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
708,"[250, 0, 0, 0, 0]","[73, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
709,"[250, 0, 0, 0, 0]","[189, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
710,"[250, 0, 0, 0, 0]","[131, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
711,"[250, 0, 0, 0, 0]","[247, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
712,"[250, 0, 0, 0, 0]","[247, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
713,"[250, 0, 0, 0, 0]","[73, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
714,"[250, 0, 0, 0, 0]","[131, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
758,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
759,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
760,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
761,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
762,"[250, 250, 250, 0, 0]","[2081, 2090, 2091, 0, 0]","[35, 18, 17, 30, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
763,"[250, 250, 250, 0, 0]","[2081, 2090, 2091, 0, 0]","[35, 18, 17, 30, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
764,"[250, 250, 250, 0, 0]","[2081, 2090, 2091, 0, 0]","[35, 17, 18, 30, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
765,"[250, 250, 250, 0, 0]","[2081, 2090, 2091, 0, 0]","[35, 17, 18, 30, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
766,"[250, 250, 0, 0, 0]","[2092, 2093, 0, 0, 0]","[35, 35, 30, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
767,"[250, 250, 0, 0, 0]","[2092, 2093, 0, 0, 0]","[35, 35, 30, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
768,"[250, 250, 0, 0, 0]","[2092, 2093, 0, 0, 0]","[35, 35, 30, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
769,"[250, 250, 0, 0, 0]","[2092, 2093, 0, 0, 0]","[35, 35, 30, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
770,"[250, 250, 0, 0, 0]","[2094, 2095, 0, 0, 0]","[35, 35, 30, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
771,"[250, 250, 0, 0, 0]","[2094, 2095, 0, 0, 0]","[35, 35, 30, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
772,"[250, 250, 0, 0, 0]","[2094, 2095, 0, 0, 0]","[35, 35, 30, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
773,"[250, 250, 0, 0, 0]","[2094, 2095, 0, 0, 0]","[35, 35, 30, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2000,"[250, 250, 0, 0, 0]","[43, 217, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2112,"[250, 0, 0, 0, 0]","[800, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[3, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2001,"[250, 250, 0, 0, 0]","[101, 159, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2113,"[250, 0, 0, 0, 0]","[800, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[3, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2002,"[250, 250, 250, 250, 0]","[44, 102, 160, 218, 0]","[25, 25, 25, 25, 0]","[5, 5, 5, 5, 1]","[1, 1, 1, 1, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2003,"[250, 0, 0, 0, 0]","[800, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[4, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2004,"[250, 250, 250, 250, 0]","[45, 103, 161, 219, 0]","[25, 25, 25, 25, 0]","[5, 5, 5, 5, 1]","[1, 1, 1, 1, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2005,"[250, 0, 0, 0, 0]","[800, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[4, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2006,"[250, 250, 0, 0, 0]","[46, 104, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2114,"[250, 0, 0, 0, 0]","[800, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[4, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2007,"[250, 250, 0, 0, 0]","[162, 220, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2115,"[250, 0, 0, 0, 0]","[800, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[4, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2008,"[250, 250, 0, 0, 0]","[49, 165, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2009,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2010,"[250, 250, 0, 0, 0]","[107, 223, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2011,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2012,"[250, 250, 250, 250, 0]","[48, 106, 164, 222, 0]","[25, 25, 25, 25, 0]","[5, 5, 5, 5, 1]","[1, 1, 1, 1, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2116,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2013,"[250, 250, 0, 0, 0]","[101, 159, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2117,"[250, 0, 0, 0, 0]","[800, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[3, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2014,"[250, 250, 0, 0, 0]","[43, 217, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2118,"[250, 0, 0, 0, 0]","[800, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[3, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2015,"[250, 250, 250, 250, 0]","[44, 102, 160, 218, 0]","[25, 25, 25, 25, 0]","[5, 5, 5, 5, 1]","[1, 1, 1, 1, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2016,"[250, 0, 0, 0, 0]","[800, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[4, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2017,"[250, 250, 250, 250, 0]","[45, 103, 161, 219, 0]","[25, 25, 25, 25, 0]","[5, 5, 5, 5, 1]","[1, 1, 1, 1, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2018,"[250, 0, 0, 0, 0]","[800, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[4, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2019,"[250, 250, 0, 0, 0]","[46, 104, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2020,"[250, 0, 0, 0, 0]","[800, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[4, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2021,"[250, 250, 0, 0, 0]","[162, 220, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2022,"[250, 0, 0, 0, 0]","[800, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[4, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2023,"[250, 250, 0, 0, 0]","[107, 223, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2024,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2025,"[250, 250, 0, 0, 0]","[49, 165, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2026,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2027,"[250, 250, 0, 0, 0]","[106, 164, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2119,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2028,"[250, 250, 0, 0, 0]","[46, 220, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2120,"[250, 0, 0, 0, 0]","[800, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[4, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2029,"[250, 250, 0, 0, 0]","[43, 217, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2121,"[250, 0, 0, 0, 0]","[800, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[3, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2030,"[250, 250, 0, 0, 0]","[101, 159, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2122,"[250, 0, 0, 0, 0]","[800, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[3, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2031,"[250, 250, 250, 250, 0]","[44, 102, 160, 218, 0]","[25, 25, 25, 25, 0]","[5, 5, 5, 5, 1]","[1, 1, 1, 1, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2032,"[250, 0, 0, 0, 0]","[800, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[4, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2033,"[250, 250, 250, 250, 0]","[45, 103, 161, 219, 0]","[25, 25, 25, 25, 0]","[5, 5, 5, 5, 1]","[1, 1, 1, 1, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2034,"[250, 0, 0, 0, 0]","[800, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[4, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2035,"[250, 250, 250, 250, 0]","[46, 104, 162, 220, 0]","[25, 25, 25, 25, 0]","[5, 5, 5, 5, 1]","[1, 1, 1, 1, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2123,"[250, 0, 0, 0, 0]","[800, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[4, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2036,"[250, 250, 0, 0, 0]","[49, 223, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2037,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2038,"[250, 250, 0, 0, 0]","[165, 107, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2039,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2040,"[250, 250, 250, 250, 0]","[48, 106, 164, 222, 0]","[25, 25, 25, 25, 0]","[5, 5, 5, 5, 1]","[1, 1, 1, 1, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2124,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2041,"[250, 250, 0, 0, 0]","[108, 166, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2125,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2042,"[250, 250, 0, 0, 0]","[224, 50, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2126,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2043,"[250, 250, 0, 0, 0]","[165, 49, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2044,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2045,"[250, 250, 0, 0, 0]","[224, 108, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2046,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2047,"[250, 250, 0, 0, 0]","[223, 107, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2127,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2048,"[250, 250, 0, 0, 0]","[53, 111, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2049,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[2, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2050,"[250, 250, 0, 0, 0]","[169, 227, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2051,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[2, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2052,"[250, 250, 0, 0, 0]","[170, 228, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2053,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[2, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2054,"[250, 250, 0, 0, 0]","[54, 112, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2055,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[2, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2056,"[250, 250, 0, 0, 0]","[55, 171, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2057,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[2, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2058,"[250, 250, 0, 0, 0]","[113, 229, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2059,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[2, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2060,"[250, 250, 0, 0, 0]","[113, 55, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2061,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[5, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2062,"[250, 250, 0, 0, 0]","[67, 183, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2063,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[5, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2128,"[250, 250, 0, 0, 0]","[125, 241, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2129,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[4, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2130,"[250, 250, 0, 0, 0]","[67, 125, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2131,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[4, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2132,"[250, 250, 0, 0, 0]","[112, 228, 0, 0, 0]","[50, 50, 0, 0, 0]","[5, 5, 1, 1, 1]","[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2133,"[250, 0, 0, 0, 0]","[801, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[2, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2134,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2135,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2136,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
2137,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
