m_id,m_ShowOrder,m_CategoryID,m_TypeID,m_Rare,m_TexID,m_NameID,m_DetailID,m_WeaponTypeID,m_MagicTypeID,m_EquipLock,m_LevelValue,m_ExclusivePlayerID,m_ExclusiveJobID,m_Param,m_Rank,m_Variation,m_SkillID,m_BuyValue,m_MaterialCheck,m_MaterialNum,m_MaterialItemID,m_MaterialEquipID,m_SlotShapeID,m_MateriaRarityLimit,m_GrowthEquipBonusID,m_EquipSkillTypeID
1007,4400,1,5,1,1134,21962,0,6,0,194,12,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 27, 3, 0, 0, 0, 0, 0, 0, 0, 0]",26,0,"[0, 0]",1400,"[195, 194, 194]","[1, 1, 0]","[163, 221, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1008,5300,1,5,1,1135,21963,0,6,0,194,16,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 34, 5, 0, 0, 0, 0, 0, 0, 0, 0]",32,0,"[0, 0]",2200,"[195, 194, 194]","[1, 1, 0]","[165, 223, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1009,6100,1,5,1,1136,21964,0,6,0,194,18,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 39, 5, 0, 0, 0, 0, 0, 0, 0, 0]",36,0,"[0, 0]",3400,"[195, 194, 194]","[1, 1, 0]","[166, 224, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1011,7700,1,5,1,1138,21966,0,6,0,194,21,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 48, 7, 0, 0, 0, 0, 0, 0, 0, 0]",40,0,"[0, 0]",4800,"[195, 194, 194]","[2, 1, 0]","[168, 226, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1012,8800,1,5,1,1139,21967,0,6,0,194,23,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 57, 9, 0, 0, 0, 0, 0, 0, 0, 0]",44,0,"[0, 0]",6500,"[195, 194, 194]","[2, 1, 0]","[169, 227, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1013,9700,1,5,1,1140,21968,0,6,0,194,25,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 68, 9, 0, 0, 0, 0, 0, 0, 0, 0]",49,0,"[0, 0]",8400,"[195, 194, 194]","[2, 2, 0]","[170, 228, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1015,10500,1,5,1,1142,21970,0,6,0,194,27,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 84, 11, 0, 0, 0, 0, 0, 0, 0, 0]",54,0,"[0, 0]",11000,"[195, 194, 194]","[2, 2, 0]","[171, 229, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1017,11300,1,5,1,1144,21972,0,6,0,194,32,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 102, 13, 0, 0, 0, 0, 0, 0, 0, 0]",60,0,"[0, 0]",14500,"[195, 194, 194]","[3, 2, 0]","[173, 231, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1019,12100,1,5,1,1146,21974,0,6,0,194,37,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 122, 15, 0, 0, 0, 0, 0, 0, 0, 0]",67,0,"[0, 0]",18800,"[195, 194, 194]","[3, 2, 0]","[175, 233, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1021,13700,1,5,1,1148,21976,0,6,0,194,42,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 143, 18, 0, 0, 0, 0, 0, 0, 0, 0]",75,0,"[0, 0]",25200,"[195, 194, 194]","[4, 2, 1]","[177, 235, 61]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1023,14500,1,5,1,1150,21978,0,6,0,194,47,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 0, 166, 21, 0, 0, 0, 0, 0, 0, 0, 0]",83,0,"[0, 0]",32600,"[195, 194, 194]","[4, 2, 1]","[179, 237, 121]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1025,15300,1,5,1,1152,21980,0,6,0,194,49,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 191, 24, 0, 0, 0, 0, 0, 0, 0, 0]",92,0,"[0, 0]",41000,"[195, 194, 194]","[5, 3, 1]","[180, 238, 122]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1027,16800,1,5,1,1154,21982,0,6,0,194,51,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 0, 218, 27, 0, 0, 0, 0, 0, 0, 0, 0]",102,0,"[0, 0]",50400,"[195, 194, 194]","[5, 3, 2]","[181, 239, 65]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1029,17600,1,5,1,1156,21984,0,6,0,194,55,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 0, 251, 30, 0, 0, 0, 0, 0, 0, 0, 0]",113,0,"[0, 0]",61000,"[195, 194, 194]","[6, 4, 2]","[182, 240, 66]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1031,19200,1,5,1,1157,21986,0,6,0,194,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 202, 0, 282, 34, 0, 0, 0, 0, 0, 0, 0, 0]",125,0,"[0, 0]",73000,"[195, 194, 194]","[7, 5, 2]","[183, 241, 125]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1032,20000,1,5,1,1265,25186,0,6,0,194,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 205, 0, 291, 35, 0, 0, 0, 0, 0, 0, 0, 0]",132,0,"[0, 0]",100000,"[195, 194, 194]","[7, 5, 2]","[184, 242, 126]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1033,20800,1,5,2,1265,25187,0,6,0,194,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 205, 0, 306, 35, 0, 0, 0, 0, 0, 0, 0, 0]",138,1,"[0, 0]",25000,"[195, 194, 194]","[1, 10, 5]","[0, 2000, 2001]","[1032, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1034,21600,1,5,3,1265,25188,0,6,0,194,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 205, 0, 321, 35, 0, 0, 0, 0, 0, 0, 0, 0]",144,2,"[0, 0]",25000,"[195, 194, 194]","[1, 10, 5]","[0, 2001, 2003]","[1033, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
30653,24900,1,5,4,1265,26106,0,6,0,194,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 225, 0, 385, 40, 0, 0, 0, 0, 0, 0, 0, 0]",174,3,"[0, 0]",1000000,"[195, 194, 194]","[1, 1, 0]","[0, 0, 0]","[1034, 1501, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1035,23200,1,5,1,1275,25189,0,6,0,194,61,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 208, 0, 302, 36, 0, 0, 0, 0, 0, 0, 0, 0]",138,0,"[0, 0]",116000,"[195, 194, 194]","[7, 5, 2]","[185, 243, 127]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1036,24000,1,5,2,1275,25190,0,6,0,194,61,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 223, 0, 302, 36, 0, 0, 0, 0, 0, 0, 0, 0]",144,1,"[0, 0]",29000,"[195, 194, 194]","[1, 10, 5]","[0, 2004, 2005]","[1035, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1037,24800,1,5,3,1275,25191,0,6,0,194,61,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 238, 0, 302, 36, 0, 0, 0, 0, 0, 0, 0, 0]",150,2,"[0, 0]",29000,"[195, 194, 194]","[1, 10, 5]","[0, 2005, 2007]","[1036, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
30667,28100,1,5,4,1275,26121,0,6,0,194,61,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 265, 0, 365, 40, 0, 0, 0, 0, 0, 0, 0, 0]",180,3,"[0, 0]",1000000,"[195, 194, 194]","[1, 1, 0]","[0, 0, 0]","[1037, 1501, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1041,27200,1,5,1,1290,25195,0,6,0,194,62,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 211, 0, 313, 37, 0, 0, 0, 0, 0, 0, 0, 0]",144,0,"[0, 0]",133000,"[195, 194, 194]","[7, 5, 2]","[186, 244, 128]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1042,28000,1,5,2,1290,25196,0,6,0,194,62,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 211, 0, 313, 37, 0, 15, 0, 0, 0, 0, 0, 0]",150,1,"[0, 0]",33250,"[195, 194, 194]","[1, 10, 5]","[0, 2008, 2009]","[1041, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1043,28800,1,5,3,1290,25197,0,6,0,194,62,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 211, 0, 313, 37, 0, 30, 0, 0, 0, 0, 0, 0]",158,2,"[0, 0]",33250,"[195, 194, 194]","[1, 10, 5]","[0, 2009, 2011]","[1042, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
30668,32900,1,5,4,1290,26122,0,6,0,194,62,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 245, 0, 375, 40, 0, 30, 0, 0, 0, 0, 0, 0]",188,3,"[0, 0]",1000000,"[195, 194, 194]","[1, 1, 0]","[0, 0, 0]","[1043, 1501, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1047,29600,1,5,1,1298,25201,0,6,0,194,63,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 214, 0, 324, 38, 0, 0, 0, 0, 0, 0, 0, 0]",150,0,"[0, 0]",152000,"[195, 194, 194]","[8, 6, 3]","[187, 245, 129]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1048,30400,1,5,2,1298,25202,0,6,0,194,63,0,0,"[0, 0, 15, 0, 0, 0, 0, 0, 0, 214, 0, 324, 38, 0, 0, 0, 0, 0, 0, 0, 0]",158,1,"[0, 0]",38000,"[195, 194, 194]","[1, 10, 5]","[0, 2012, 2013]","[1047, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1049,31200,1,5,3,1298,25203,0,6,0,194,63,0,0,"[0, 0, 30, 0, 0, 0, 0, 0, 0, 214, 0, 324, 38, 0, 0, 0, 0, 0, 0, 0, 0]",166,2,"[0, 0]",38000,"[195, 194, 194]","[1, 10, 5]","[0, 2013, 2015]","[1048, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
30678,38400,1,5,4,1298,26132,0,6,0,194,63,0,0,"[0, 0, 30, 0, 0, 0, 0, 0, 0, 255, 0, 385, 40, 0, 0, 0, 0, 0, 0, 0, 0]",196,3,"[0, 0]",1000000,"[195, 194, 194]","[1, 1, 0]","[0, 0, 0]","[1049, 1501, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1053,32000,1,5,1,1306,25525,0,6,0,194,64,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 217, 0, 340, 39, 0, 0, 0, 0, 0, 0, 0, 0]",158,0,"[0, 0]",172000,"[195, 194, 194]","[8, 6, 3]","[188, 246, 130]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1054,32900,1,5,2,1306,25526,0,6,0,194,64,0,0,"[0, 150, 0, 0, 0, 0, 0, 0, 0, 217, 0, 340, 39, 0, 0, 0, 0, 0, 0, 0, 0]",166,1,"[0, 0]",43000,"[195, 194, 194]","[1, 10, 5]","[0, 2016, 2017]","[1053, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1055,33600,1,5,3,1306,25527,0,6,0,194,64,0,0,"[0, 300, 0, 0, 0, 0, 0, 0, 0, 217, 0, 340, 39, 0, 0, 0, 0, 0, 0, 0, 0]",175,2,"[0, 0]",43000,"[195, 194, 194]","[1, 10, 5]","[0, 2017, 2019]","[1054, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
30809,41500,1,5,4,1306,26261,0,6,0,194,64,0,0,"[0, 300, 0, 0, 0, 0, 0, 0, 0, 258, 0, 402, 41, 0, 0, 0, 0, 0, 0, 0, 0]",205,3,"[0, 0]",1000000,"[195, 194, 194]","[1, 1, 0]","[0, 0, 0]","[1055, 1501, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1059,34400,1,5,1,1314,25531,0,6,0,194,65,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 220, 0, 346, 40, 0, 0, 0, 0, 0, 0, 0, 0]",166,0,"[0, 0]",193000,"[195, 194, 194]","[8, 6, 3]","[189, 247, 131]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1060,35200,1,5,2,1314,25532,0,6,0,194,65,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 240, 0, 346, 40, 0, 0, 0, 0, 0, 0, 0, 0]",175,1,"[0, 0]",48250,"[195, 194, 194]","[1, 10, 5]","[0, 2020, 2021]","[1059, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1061,36000,1,5,3,1314,25533,0,6,0,194,65,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 260, 0, 346, 40, 0, 0, 0, 0, 0, 0, 0, 0]",184,2,"[0, 0]",48250,"[195, 194, 194]","[1, 10, 5]","[0, 2021, 2023]","[1060, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
30810,44800,1,5,4,1314,26262,0,6,0,194,65,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 299, 0, 405, 42, 0, 0, 0, 0, 0, 0, 0, 0]",214,3,"[0, 0]",1000000,"[195, 194, 194]","[1, 1, 0]","[0, 0, 0]","[1061, 1501, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1201,200,1,8,1,1221,21987,0,8,0,195,1,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10,0,"[0, 0]",0,"[194, 194, 194]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1202,1000,1,8,1,1222,21988,0,8,0,194,1,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0]",10,0,"[0, 0]",90,"[194, 194, 194]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1203,1800,1,8,1,1223,21989,0,8,0,194,2,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 10, 0, 1, 0, 0, 0, 0, 0, 0, 0]",14,0,"[0, 0]",150,"[195, 194, 194]","[1, 0, 0]","[217, 0, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1204,2600,1,8,1,1224,21990,0,8,0,194,9,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 16, 0, 2, 0, 0, 0, 0, 0, 0, 0]",18,0,"[0, 0]",700,"[195, 194, 194]","[1, 1, 0]","[219, 103, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1205,3800,1,8,1,1225,21991,0,8,0,194,11,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 21, 0, 2, 0, 0, 0, 0, 0, 0, 0]",22,0,"[0, 0]",1000,"[195, 194, 194]","[1, 1, 0]","[220, 46, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1207,4700,1,8,1,1227,21993,0,8,0,194,12,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 28, 0, 3, 0, 0, 0, 0, 0, 0, 0]",26,0,"[0, 0]",1400,"[195, 194, 194]","[1, 1, 0]","[221, 47, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1208,5300,1,8,1,1228,21994,0,8,0,194,16,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 33, 0, 5, 0, 0, 0, 0, 0, 0, 0]",32,0,"[0, 0]",2200,"[195, 194, 194]","[1, 1, 0]","[223, 107, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1209,6400,1,8,1,1229,21995,0,8,0,194,18,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 39, 0, 5, 0, 0, 0, 0, 0, 0, 0]",36,0,"[0, 0]",3400,"[195, 194, 194]","[1, 1, 0]","[224, 50, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1211,8000,1,8,1,1231,21997,0,8,0,194,21,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 46, 0, 7, 0, 0, 0, 0, 0, 0, 0]",40,0,"[0, 0]",4800,"[195, 194, 194]","[2, 1, 0]","[226, 110, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1212,8600,1,8,1,1232,21998,0,8,0,194,23,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 55, 0, 9, 0, 0, 0, 0, 0, 0, 0]",44,0,"[0, 0]",6500,"[195, 194, 194]","[2, 1, 0]","[227, 53, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1213,9300,1,8,1,1233,21999,0,8,0,194,25,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 65, 0, 9, 0, 0, 0, 0, 0, 0, 0]",49,0,"[0, 0]",8400,"[195, 194, 194]","[2, 2, 0]","[228, 112, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1215,10100,1,8,1,1235,22001,0,8,0,194,27,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 80, 0, 11, 0, 0, 0, 0, 0, 0, 0]",54,0,"[0, 0]",11000,"[195, 194, 194]","[2, 2, 0]","[229, 113, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1217,11000,1,8,1,1237,22003,0,8,0,194,32,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 98, 0, 13, 0, 0, 0, 0, 0, 0, 0]",60,0,"[0, 0]",14500,"[195, 194, 194]","[3, 2, 0]","[231, 57, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1219,11800,1,8,1,1239,22005,0,8,0,194,37,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 118, 0, 15, 0, 0, 0, 0, 0, 0, 0]",67,0,"[0, 0]",18800,"[195, 194, 194]","[3, 2, 0]","[233, 59, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1221,13300,1,8,1,1241,22007,0,8,0,194,42,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 138, 0, 18, 0, 0, 0, 0, 0, 0, 0]",75,0,"[0, 0]",25200,"[195, 194, 194]","[4, 2, 1]","[235, 61, 177]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1223,14100,1,8,1,1243,22009,0,8,0,194,47,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 160, 0, 21, 0, 0, 0, 0, 0, 0, 0]",83,0,"[0, 0]",32600,"[195, 194, 194]","[4, 2, 1]","[237, 121, 179]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1225,14900,1,8,1,1245,22011,0,8,0,194,49,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 0, 183, 0, 24, 0, 0, 0, 0, 0, 0, 0]",92,0,"[0, 0]",41000,"[195, 194, 194]","[5, 3, 1]","[238, 64, 180]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1227,16500,1,8,1,1247,22013,0,8,0,194,51,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 155, 0, 208, 0, 27, 0, 0, 0, 0, 0, 0, 0]",102,0,"[0, 0]",50400,"[195, 194, 194]","[5, 3, 2]","[239, 65, 181]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1229,17300,1,8,1,1249,22015,0,8,0,194,55,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 177, 0, 238, 0, 30, 0, 0, 0, 0, 0, 0, 0]",113,0,"[0, 0]",61000,"[195, 194, 194]","[6, 4, 2]","[240, 66, 124]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1231,18900,1,8,1,1250,22017,0,8,0,194,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 201, 0, 272, 0, 34, 0, 0, 0, 0, 0, 0, 0]",125,0,"[0, 0]",73000,"[195, 194, 194]","[7, 5, 2]","[241, 67, 125]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1232,19700,1,8,1,1268,25207,0,8,0,194,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 206, 0, 280, 0, 35, 0, 0, 0, 0, 0, 0, 0]",132,0,"[0, 0]",100000,"[195, 194, 194]","[7, 5, 2]","[242, 68, 126]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1233,20500,1,8,2,1268,25208,0,8,0,194,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 206, 0, 295, 0, 35, 0, 0, 0, 0, 0, 0, 0]",138,1,"[0, 0]",25000,"[195, 194, 194]","[1, 10, 5]","[0, 2000, 2001]","[1232, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1234,21300,1,8,3,1268,25209,0,8,0,194,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 206, 0, 310, 0, 35, 0, 0, 0, 0, 0, 0, 0]",144,2,"[0, 0]",25000,"[195, 194, 194]","[1, 10, 5]","[0, 2001, 2003]","[1233, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
