m_id,m_MapID,m_EquipID,m_AndCond,m_TrigCondID
10818,0,10818,194,"[94052, 0, 0]"
10819,0,10819,194,"[94053, 0, 0]"
10820,0,0,194,"[0, 0, 0]"
10821,0,10821,194,"[94054, 0, 0]"
10822,0,0,194,"[0, 0, 0]"
10823,0,10823,194,"[94055, 0, 0]"
10824,0,10824,194,"[94056, 0, 0]"
10825,0,10825,194,"[94056, 0, 0]"
10826,0,0,194,"[0, 0, 0]"
10827,0,0,194,"[0, 0, 0]"
10828,0,10828,194,"[94057, 0, 0]"
10829,0,10829,194,"[94058, 0, 0]"
10830,0,10830,194,"[94059, 0, 0]"
11001,0,11001,194,"[0, 0, 0]"
11002,0,11002,194,"[0, 0, 0]"
11003,0,0,194,"[0, 0, 0]"
11004,0,11004,194,"[0, 0, 0]"
11005,0,0,194,"[0, 0, 0]"
11006,0,0,194,"[0, 0, 0]"
11007,0,11007,194,"[0, 0, 0]"
11008,0,11008,194,"[0, 0, 0]"
11009,0,0,194,"[0, 0, 0]"
11010,0,11010,194,"[0, 0, 0]"
11011,0,11011,194,"[94063, 0, 0]"
11012,0,11012,194,"[94064, 0, 0]"
11013,0,0,194,"[0, 0, 0]"
11014,0,0,194,"[0, 0, 0]"
11015,0,11015,194,"[3000, 0, 0]"
11016,0,11016,194,"[3000, 0, 0]"
11017,0,0,194,"[0, 0, 0]"
11018,0,11018,194,"[94052, 0, 0]"
11019,0,11019,194,"[94053, 0, 0]"
11020,0,0,194,"[0, 0, 0]"
11021,0,11021,194,"[94054, 0, 0]"
11022,0,0,194,"[0, 0, 0]"
11023,0,11023,194,"[94055, 0, 0]"
11024,0,11024,194,"[94056, 0, 0]"
11025,0,11025,194,"[94056, 0, 0]"
11026,0,0,194,"[0, 0, 0]"
11027,0,0,194,"[0, 0, 0]"
11028,0,11028,194,"[94057, 0, 0]"
11029,0,11029,194,"[94058, 0, 0]"
11030,0,11030,194,"[94059, 0, 0]"
12000,0,10031,194,"[103202, 0, 0]"
12001,0,10231,194,"[103202, 0, 0]"
12002,0,10431,194,"[103202, 0, 0]"
12003,0,10631,194,"[103202, 0, 0]"
12004,0,10831,194,"[103202, 0, 0]"
12005,0,11031,194,"[103202, 0, 0]"
12200,0,10032,194,"[103201, 0, 0]"
12201,0,10232,194,"[103201, 0, 0]"
12202,0,10432,194,"[103201, 0, 0]"
12203,0,10632,194,"[103201, 0, 0]"
12204,0,10832,194,"[103201, 0, 0]"
12205,0,11032,194,"[103201, 0, 0]"
12206,0,10034,194,"[103207, 0, 0]"
12207,0,10234,194,"[103207, 0, 0]"
12208,0,10434,194,"[103207, 0, 0]"
12209,0,10634,194,"[103207, 0, 0]"
12210,0,10834,194,"[103207, 0, 0]"
12211,0,11034,194,"[103207, 0, 0]"
12212,0,10036,194,"[103200, 0, 0]"
12213,0,10236,194,"[103200, 0, 0]"
12214,0,10436,194,"[103200, 0, 0]"
12215,0,10636,194,"[103200, 0, 0]"
12216,0,10836,194,"[103200, 0, 0]"
12217,0,11036,194,"[103200, 0, 0]"
12218,0,10038,194,"[103206, 0, 0]"
12219,0,10238,194,"[103206, 0, 0]"
12220,0,10438,194,"[103206, 0, 0]"
12221,0,10638,194,"[103206, 0, 0]"
12222,0,10838,194,"[103206, 0, 0]"
12223,0,11038,194,"[103206, 0, 0]"
12224,0,10040,194,"[103204, 0, 0]"
12225,0,10240,194,"[103204, 0, 0]"
12226,0,10440,194,"[103204, 0, 0]"
12227,0,10640,194,"[103204, 0, 0]"
12228,0,10840,194,"[103204, 0, 0]"
12229,0,11040,194,"[103204, 0, 0]"
12282,100061,30594,194,"[103594, 0, 0]"
12283,100061,30595,194,"[103594, 0, 0]"
12284,100061,30597,194,"[103594, 0, 0]"
12285,100061,30598,194,"[103594, 0, 0]"
12286,100060,30594,194,"[0, 0, 0]"
12287,100060,30595,194,"[0, 0, 0]"
12306,100060,30596,194,"[0, 0, 0]"
12307,100060,30597,194,"[0, 0, 0]"
12308,100060,30598,194,"[0, 0, 0]"
12309,100060,30599,194,"[0, 0, 0]"
12416,100061,30630,194,"[103594, 0, 0]"
12417,100061,30631,194,"[103594, 0, 0]"
12418,100061,30632,194,"[103594, 0, 0]"
12419,100061,30633,194,"[103594, 0, 0]"
12420,100061,30634,194,"[103594, 0, 0]"
12421,100061,30635,194,"[103594, 0, 0]"
12422,100060,30630,194,"[0, 0, 0]"
12423,100060,30631,194,"[0, 0, 0]"
12424,100060,30632,194,"[0, 0, 0]"
12425,100060,30633,194,"[0, 0, 0]"
12426,100060,30634,194,"[0, 0, 0]"
12427,100060,30635,194,"[0, 0, 0]"
12437,100060,30763,194,"[0, 0, 0]"
12438,100060,30767,194,"[0, 0, 0]"
